Step,Reward,Accumulated reward,Velocity,Steer,Deviation,Speed
1,0.99,0.99,1.0,-0.18,-1.0,0.0
2,0.99,1.98,1.0,-0.18,-1.0,0.003119182540103793
3,0.99,2.9699999999999998,1.0,-0.18,-1.0,0.0016772651579231024
4,0.99,3.96,1.0,-0.18,-1.0,0.0014463328989222646
5,0.99,4.95,1.0,-0.18,-1.0,0.000449705112259835
6,0.99,5.94,1.0,-0.18,-1.0,0.00023140429402701557
7,0.99,6.930000000000001,1.0,-0.18,-1.0,0.00039873120840638876
8,0.99,7.920000000000001,1.0,-0.18,-1.0,0.0001311779342358932
9,0.99,8.91,1.0,-0.18,-1.0,0.0006417560507543385
10,0.99,9.9,1.0,-0.18,-1.0,0.5157393217086792
11,0.99,10.89,1.0,-0.18,1.0,0.9275115132331848
12,0.97,11.860000000000001,1.0,-0.18,3.0,1.1062312126159668
13,0.95,12.81,2.0,0.16,5.0,0.21500666439533234
14,0.95,13.76,2.0,0.16,5.0,0.319058895111084
15,0.95,14.709999999999999,2.0,0.16,5.0,0.48773831129074097
16,0.96,15.669999999999998,2.0,0.16,4.0,0.5857963562011719
17,0.97,16.639999999999997,2.0,0.16,3.0,0.7767542600631714
18,0.98,17.619999999999997,2.0,0.16,2.0,1.0185567140579224
19,0.99,18.609999999999996,1.0,-0.18,1.0,1.2599914073944092
20,1.0,19.609999999999996,1.0,-0.18,0.0,1.254464864730835
21,1.0,20.609999999999996,1.0,-0.18,0.0,0.928730309009552
22,1.0,21.609999999999996,1.0,-0.18,0.0,0.8732398152351379
23,0.98,22.589999999999996,1.0,-0.18,2.0,0.9086906909942627
24,0.96,23.549999999999997,1.0,-0.18,4.0,0.9200006723403931
25,0.94,24.49,2.0,0.16,6.0,0.899764358997345
26,0.93,25.419999999999998,2.0,0.16,7.0,0.8695613741874695
27,0.93,26.349999999999998,2.0,0.16,7.0,0.859163224697113
28,0.94,27.29,2.0,0.16,6.0,1.0144283771514893
29,0.96,28.25,2.0,0.16,4.0,1.2801601886749268
30,0.98,29.23,2.0,0.16,2.0,1.4725773334503174
31,1.0,30.23,1.0,-0.18,0.0,1.5637438297271729
32,0.98,31.21,1.0,-0.18,-2.0,1.6554481983184814
33,1.0,32.21,1.0,-0.18,0.0,1.5322654247283936
34,0.97,33.18,1.0,-0.18,3.0,0.006911539472639561
35,0.97,34.15,2.0,0.16,3.0,0.10142654925584793
36,0.97,35.12,2.0,0.16,3.0,0.1501653790473938
37,0.97,36.089999999999996,2.0,0.16,3.0,0.4621015787124634
38,0.98,37.06999999999999,2.0,0.16,2.0,0.6450937986373901
39,0.99,38.059999999999995,1.0,-0.18,1.0,0.7691422700881958
40,0.99,39.05,1.0,-0.18,-1.0,1.2532294988632202
41,0.99,40.04,1.0,-0.18,1.0,1.3350657224655151
42,0.98,41.019999999999996,1.0,-0.18,2.0,0.010485481470823288
43,0.99,42.01,1.0,-0.18,1.0,0.2240300327539444
44,0.98,42.989999999999995,1.0,-0.18,2.0,0.2176176905632019
45,0.97,43.959999999999994,1.0,-0.18,3.0,0.49876168370246887
46,0.96,44.919999999999995,2.0,0.16,4.0,0.5525323748588562
47,0.95,45.87,2.0,0.16,5.0,0.6534483432769775
48,0.95,46.82,2.0,0.16,5.0,0.830288290977478
49,0.96,47.78,2.0,0.16,4.0,1.0114725828170776
50,0.98,48.76,2.0,0.16,2.0,1.3138699531555176
51,0.99,49.75,1.0,-0.18,-1.0,1.523995280265808
52,0.98,50.73,1.0,-0.18,-2.0,1.5730079412460327
53,0.99,51.72,1.0,-0.18,-1.0,1.5426974296569824
54,0.98,52.699999999999996,1.0,-0.18,2.0,0.9530833959579468
55,0.96,53.66,1.0,-0.18,4.0,0.19085732102394104
56,0.96,54.62,2.0,0.16,4.0,0.32944101095199585
57,0.95,55.57,2.0,0.16,5.0,0.4360203146934509
58,0.96,56.53,2.0,0.16,4.0,0.6283060312271118
