Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Speed
1,0.7897941517710894,0.7897941517710894,0.5,0.01,-1.0,0.0017982387216761708
2,0.7897516972429326,1.579545849014022,0.5,0.01,-1.0,0.0007368755177594721
3,0.7897298184302377,2.36927566744426,0.5,0.01,-1.0,0.0001899052003864199
4,0.7897291252980683,3.159004792742328,0.5,0.01,-1.0,0.00017257689614780247
5,0.7897413090590595,3.9487461018013876,0.5,0.01,-1.0,0.0004771709209308028
6,0.789722385167293,4.738468486968681,0.5,0.01,-1.0,4.073626769240946e-06
7,0.7897266053117671,5.5281950922804475,0.5,0.01,-1.0,0.00010957723861793056
8,0.7897384537602516,6.317933546040699,0.5,0.01,-1.0,0.00040578845073468983
9,0.7897295807730149,7.107663126813714,0.5,0.01,-1.0,0.00018396376981399953
10,0.7897260300547675,7.897389156868481,0.5,0.01,-1.0,9.519581362837926e-05
11,0.7897237015662864,8.687112858434768,0.5,0.01,-1.0,3.6983601603424177e-05
12,0.8083571328057184,9.495469991240487,0.5,0.01,-1.0,0.46587276458740234
13,0.8187200082672967,10.314189999507784,0.5,0.01,-1.0,0.7249446511268616
14,0.8226975287331475,11.136887528240932,0.5,0.01,-1.0,0.8243826627731323
15,0.8261004794968501,11.962988007737781,0.5,0.01,-1.0,0.9094564318656921
16,0.8307790602578058,12.793767067995587,0.5,0.01,-1.0,1.0264209508895874
17,0.8339105786217584,13.627677646617345,0.5,0.01,-1.0,1.1047089099884033
18,0.8439232720269096,14.471600918644254,0.5,0.01,0.0,1.1675262451171875
19,0.8464510144127739,15.318051933057028,0.5,0.01,0.0,1.230719804763794
20,0.8507315005196465,16.168783433576674,0.5,0.01,0.0,1.337731957435608
21,0.8525435007943047,17.02132693437098,0.5,0.01,0.0,1.383031964302063
22,0.8555673350228203,17.876894269393798,0.5,0.01,0.0,1.4586278200149536
23,0.8591137589348687,18.736008028328666,0.5,0.01,0.0,1.547288417816162
24,0.8621164025200738,19.59812443084874,0.5,0.01,0.0,1.622354507446289
25,0.8574173296822443,20.455541760530984,0.5,0.01,1.0,1.6923776865005493
26,0.8598226202858819,21.315364380816867,0.5,0.01,1.0,1.7525099515914917
27,0.8620440663231743,22.177408447140042,0.5,0.01,1.0,1.8080461025238037
28,0.8645626677407159,23.04197111488076,0.5,0.01,1.0,1.8710111379623413
29,0.8600593460930719,23.90203046097383,0.5,0.01,2.0,1.9459280967712402
30,0.8626485718621149,24.764679032835943,0.5,0.01,2.0,2.0106587409973145
31,0.8660548867119684,25.63073391954791,0.5,0.01,2.0,2.0958166122436523
32,0.8676054371727837,26.498339356720695,0.5,0.01,2.0,2.134580373764038
33,0.8631248654259576,27.36146422214665,0.5,0.01,3.0,2.210066080093384
34,0.8658455742730036,28.227309796419654,0.5,0.01,3.0,2.2780838012695312
35,0.8687863720787896,29.096096168498445,0.5,0.01,3.0,2.3516037464141846
36,0.8656787480248345,29.96177491652328,0.5,0.01,4.0,2.4614131450653076
37,0.868195809258355,30.829970725781635,0.5,0.01,4.0,2.5243396759033203
