Step,Reward,Accumulated reward,Throttle,Steer,deviation,velocity,Brake,Dist
1,0.897676746832473,0.897676746832473,0.5248870253562927,-0.023265205323696136,-7.0,0.004649543669074774,-1.0,10.0
2,0.8935878668704204,1.7912646137028934,0.5255706906318665,-0.025650691241025925,-7.0,0.003767905291169882,-1.0,10.0
3,0.8935876067653299,2.6848522204682235,0.5255712866783142,-0.02565092034637928,-7.0,0.003612783970311284,-1.0,10.0
4,0.8931508788764477,3.578003099344671,0.5255883932113647,-0.025897882878780365,-7.0,0.0035380793269723654,-1.0,10.0
5,0.8931508090272546,4.471153908371925,0.5255883932113647,-0.0258979219943285,-7.0,0.002603648928925395,-1.0,10.0
6,0.8931505489221642,5.3643044572940894,0.5255889892578125,-0.025898151099681854,-7.0,0.0,-1.0,10.0
7,0.893149786967252,6.257454244261341,0.525590717792511,-0.025898819789290428,-7.0,0.00012944084301125258,-1.0,10.0
8,0.8931498651983483,7.150604109459689,0.5255906581878662,-0.02589876763522625,-7.0,0.0013194364728406072,-1.0,10.0
9,0.8931502236244935,8.043754333084182,0.5255898833274841,-0.025898458436131477,-7.0,0.0008496361551806331,-1.0,10.0
10,0.8931501018873284,8.936904434971511,0.525590181350708,-0.025898568332195282,-7.0,0.00023900563246570528,-1.0,10.0
11,0.8931499334509885,9.8300543684225,0.5255905985832214,-0.02589872106909752,-7.0,0.0004399595782160759,-1.0,10.0
12,0.8931499519443938,10.723204320366895,0.5255904197692871,-0.025898685678839684,-7.0,0.0005695226136595011,-1.0,10.0
13,0.8931500002401216,11.616354320607016,0.5255903601646423,-0.025898650288581848,-7.0,0.00050259695854038,-1.0,10.0
14,0.893149958596698,12.509504279203714,0.5255904197692871,-0.025898681953549385,-7.0,0.0006687373388558626,-1.0,10.0
15,0.8931500186004809,13.402654297804196,0.5255903005599976,-0.025898631662130356,-7.0,0.000606258399784565,-1.0,10.0
16,0.893150023523186,14.295804321327381,0.5255903601646423,-0.025898637250065804,-7.0,0.0013154863845556974,-1.0,10.0
17,0.8931502069937332,15.188954528321114,0.5255898833274841,-0.025898467749357224,-7.0,0.0014810881111770868,-1.0,10.0
18,0.8931502370621478,16.08210476538326,0.5255897641181946,-0.025898434221744537,-7.0,0.00105590233579278,-1.0,10.0
19,0.8931501536422543,16.975254919025513,0.5255900025367737,-0.025898514315485954,-7.0,0.001560633652843535,-1.0,10.0
20,0.8931502620748112,17.868405181100325,0.5255897045135498,-0.025898411870002747,-7.0,0.0008428181754425168,-1.0,10.0
21,0.8931500553211996,18.761555236421525,0.525590181350708,-0.02589859440922737,-7.0,0.001360331429168582,-1.0,10.0
22,0.8931502486371569,19.65470548505868,0.5255898237228394,-0.025898436084389687,-7.0,0.00014051586913410574,-1.0,10.0
23,0.8931498968633158,20.547855381922,0.5255905985832214,-0.02589874155819416,-7.0,0.001552243484184146,-1.0,10.0
24,0.8931502654009632,21.44100564732296,0.5255897045135498,-0.025898410007357597,-7.0,7.283547893166542e-05,-1.0,10.0
25,0.8931498518937401,22.3341554992167,0.5255906581878662,-0.025898775085806847,-7.0,0.0005643640761263669,-1.0,10.0
26,0.8931500301754901,23.22730552939219,0.5255903601646423,-0.025898633524775505,-7.0,0.00039167050272226334,-1.0,10.0
27,0.8931499801501632,24.120455509542353,0.5255904793739319,-0.025898678228259087,-7.0,0.0007521995576098561,-1.0,10.0
28,0.8931500436131443,25.013605553155497,0.5255902409553528,-0.025898609310388565,-7.0,0.00134669104591012,-1.0,10.0
29,0.8931502253540925,25.906755778509588,0.5255898237228394,-0.02589844912290573,-7.0,0.0002570658107288182,-1.0,10.0
30,0.8931498952667629,26.79990567377635,0.5255905389785767,-0.025898734107613564,-7.0,5.42261877853889e-05,-1.0,10.0
31,0.8931498302072287,27.69305550398358,0.525590717792511,-0.025898795574903488,-7.0,0.0001033524313243106,-1.0,10.0
32,0.8931499217429332,28.58620542572651,0.5255906581878662,-0.025898735970258713,-7.0,0.0005219660233706236,-1.0,10.0
33,0.8931499818797624,29.479355407606274,0.5255904197692871,-0.02589866891503334,-7.0,0.00011663760960800573,-1.0,10.0
34,0.8931498884814126,30.372505296087688,0.5255906581878662,-0.025898754596710205,-7.0,0.00011663760960800573,-1.0,10.0
35,0.8931498884814126,31.265655184569102,0.5255906581878662,-0.025898754596710205,-7.0,0.0002328769478481263,-1.0,10.0
36,0.8931499301248363,32.15880511469394,0.5255905985832214,-0.025898722931742668,-7.0,0.0001630783808650449,-1.0,10.0
37,0.89314990351562,33.05195501820956,0.5255905985832214,-0.025898737832903862,-7.0,0.00026651337975636125,-1.0,10.0
38,0.8931499600602049,33.94510497826977,0.5255905985832214,-0.025898706167936325,-7.0,0.00026651337975636125,-1.0,10.0
39,0.8931499600602049,34.838254938329975,0.5255905985832214,-0.025898706167936325,-7.0,0.00038426448008976877,-1.0,10.0
40,0.8931499502147948,35.731404888544766,0.5255904793739319,-0.02589869499206543,-7.0,0.001183633110485971,-1.0,10.0
41,0.8931502285471985,36.624555117091965,0.5255899429321289,-0.025898464024066925,-7.0,0.001183633110485971,-1.0,10.0
42,0.8931502285471985,37.517705345639165,0.5255899429321289,-0.025898464024066925,-7.0,0.0021603479981422424,-1.0,10.0
43,0.8931504786738328,38.410855824312996,0.5255893468856812,-0.025898240506649017,-7.0,0.18853773176670074,-1.0,10.0
