Steps,Reward,Accumulated reward,velocity,Throttle,Steer,deviation,Distance,Distance right front,Distance right,Distance right back
1,0.9461420214303902,0.9461420214303902,0.0,0.5206094980239868,0.00896579772233963,3.0,nan,19.5,19.5,19.5
2,0.9438753206517014,1.8900173420820916,0.003594255307689309,0.5222945213317871,0.010471053421497345,3.0,nan,19.5,19.5,19.5
3,0.9438723547884396,2.833889696870531,0.0029871559236198664,0.5222920775413513,0.010472372174263,3.0,nan,19.5,19.5,19.5
4,0.9438728715394225,3.777762568409954,0.0006467151688411832,0.5222924947738647,0.010472141206264496,3.0,nan,19.5,19.5,19.5
5,0.9438747224765164,4.72163729088647,0.0006636857870034873,0.5222940444946289,0.010471321642398834,3.0,nan,19.5,19.5,19.5
6,0.9438747772915023,5.665512068177972,0.001083054463379085,0.5222941040992737,0.010471299290657043,3.0,nan,19.5,19.5,19.5
7,0.9438744366935321,6.609386504871504,0.00030965328915044665,0.5222938060760498,0.010471448302268982,3.0,nan,19.5,19.5,19.5
8,0.9438750098560538,7.553261514727558,0.0013459204928949475,0.5222943425178528,0.010471202433109283,3.0,nan,19.5,19.5,19.5
9,0.9438742456393582,8.497135760366916,0.0007141780806705356,0.5222936272621155,0.010471530258655548,3.0,nan,19.5,19.5,19.5
10,0.9438746559534754,9.441010416320392,0.0014384937239810824,0.5222940444946289,0.010471358895301819,3.0,nan,19.5,19.5,19.5
11,0.9438741493139948,10.384884565634387,0.0008091020281426609,0.5222935080528259,0.010471567511558533,3.0,nan,19.5,19.5,19.5
12,0.9438746543569224,11.328759219991309,0.0009232329903170466,0.5222939848899841,0.010471351444721222,3.0,nan,19.5,19.5,19.5
13,0.9438745048131261,12.272633724804434,0.0008095455123111606,0.5222938656806946,0.010471418499946594,3.0,nan,19.5,19.5,19.5
14,0.9438746543569224,13.216508379161356,0.0002136421244358644,0.5222939848899841,0.010471351444721222,3.0,nan,19.5,19.5,19.5
15,0.94387514955444,14.160383528715796,0.00013961792865302414,0.5222943425178528,0.010471124202013016,3.0,nan,19.5,19.5,19.5
16,0.9438751245417765,15.104258653257572,0.001029596314765513,0.5222944021224976,0.010471146553754807,3.0,nan,19.5,19.5,19.5
17,0.9438744499981403,16.04813310325571,0.0012105751084163785,0.5222938060760498,0.010471440851688385,3.0,nan,19.5,19.5,19.5
18,0.9438743071066481,16.99200741036236,0.0007122516399249434,0.5222936868667603,0.010471504181623459,3.0,nan,19.5,19.5,19.5
19,0.9438746626057795,17.935882072968138,0.0007122516399249434,0.5222940444946289,0.01047135517001152,3.0,nan,19.5,19.5,19.5
20,0.9438746626057795,18.879756735573917,0.0018902969313785434,0.5222940444946289,0.01047135517001152,3.0,nan,19.5,19.5,19.5
21,0.9438737488452877,19.823630484419205,0.0014181995065882802,0.522293210029602,0.010471750050783157,3.0,nan,19.5,19.5,19.5
22,0.9438741509105477,20.767504635329754,0.001136889448389411,0.5222935676574707,0.01047157496213913,3.0,nan,19.5,19.5,19.5
23,0.9438743552693298,21.711378990599083,0.0004805469361599535,0.522293746471405,0.010471485555171967,3.0,nan,19.5,19.5,19.5
24,0.9438749185864415,22.655253909185525,0.0003053522086702287,0.5222941637039185,0.010471228510141373,3.0,nan,19.5,19.5,19.5
25,0.9438750963360071,23.599129005521533,0.0013739967253059149,0.5222943425178528,0.010471154004335403,3.0,nan,19.5,19.5,19.5
26,0.9438742041289806,24.543003209650514,0.0013739967253059149,0.5222935676574707,0.010471545159816742,3.0,nan,19.5,19.5,19.5
