Steps,Reward,Accumulated reward,velocity,Throttle,Steer,deviation,Distance,Distance right front,Distance right,Distance right back
1,0.8981398187769312,0.8981398187769312,0.0,0.5249808430671692,-0.02301901951432228,-7.0,nan,19.5,19.5,19.5
2,0.8935865628857698,1.791726381662701,0.0022196033969521523,0.5255737900733948,-0.025651855394244194,-7.0,nan,19.5,19.5,19.5
3,0.8931504471419114,2.6848768288046125,0.001866484759375453,0.5255892872810364,-0.025898249819874763,-7.0,nan,19.5,19.5,19.5
4,0.893150363722018,3.5780271925266307,0.002108755987137556,0.5255895256996155,-0.02589832991361618,-7.0,nan,19.5,19.5,19.5
5,0.8931504321077041,4.471177624634334,0.002496969187632203,0.5255893468856812,-0.025898266583681107,-7.0,nan,19.5,19.5,19.5
6,0.8931505221799017,5.364328146814236,0.0012858777772635221,0.525589108467102,-0.02589818276464939,-7.0,nan,19.5,19.5,19.5
7,0.8931502302767975,6.257478377091033,0.0008395951008424163,0.5255898833274841,-0.02589845471084118,-7.0,nan,19.5,19.5,19.5
8,0.8931500420165914,7.150628419107624,0.0017837615450844169,0.525590181350708,-0.025898601859807968,-7.0,nan,19.5,19.5,19.5
9,0.8931502905466727,8.043778709654298,0.0020809872075915337,0.5255895256996155,-0.025898370891809464,-7.0,nan,19.5,19.5,19.5
10,0.8931504387600082,8.936929148414306,0.0012065359624102712,0.5255893468856812,-0.025898262858390808,-7.0,nan,19.5,19.5,19.5
11,0.8931501919595259,9.830079340373832,0.00043777612154372036,0.5255899429321289,-0.025898484513163567,-7.0,nan,19.5,19.5,19.5
12,0.8931499452920897,10.723229285665921,0.000233935090363957,0.5255904197692871,-0.025898689404129982,-7.0,nan,19.5,19.5,19.5
13,0.8931499401032925,11.616379225769213,0.0013940557837486267,0.5255905985832214,-0.02589871734380722,-7.0,nan,19.5,19.5,19.5
14,0.8931502386587007,12.509529464427914,0.0013940557837486267,0.5255898237228394,-0.025898441672325134,-7.0,nan,19.5,19.5,19.5
15,0.8931502386587007,13.402679703086614,0.000615676399320364,0.5255898237228394,-0.025898441672325134,-7.0,nan,19.5,19.5,19.5
16,0.8931500319050891,14.295829734991703,0.0002149518404621631,0.5255903005599976,-0.02589862421154976,-7.0,nan,19.5,19.5,19.5
17,0.8931499101679241,15.188979645159627,0.00043801372521556914,0.5255905985832214,-0.025898734107613564,-7.0,nan,19.5,19.5,19.5
18,0.8931499452920897,16.082129590451718,7.502912194468081e-05,0.5255904197692871,-0.025898689404129982,-7.0,nan,19.5,19.5,19.5
19,0.8931498501641411,16.975279440615857,0.0004086926637683064,0.525590717792511,-0.025898784399032593,-7.0,nan,19.5,19.5,19.5
