Steps,Reward,Accumulated reward,velocity,Throttle,Steer,deviation,Distance,Distance right front,Distance right,Distance right back
1,0.9487136723441737,0.9487136723441737,0.017642416059970856,0.523110032081604,-0.007875747978687286,-3.0,nan,19.5,19.5,19.5
2,0.9427503673327821,1.8914640396769558,0.01640845276415348,0.5245047807693481,-0.011410463601350784,-3.0,nan,19.5,19.5,19.5
3,0.9427498841094119,2.8342139237863675,0.01538040116429329,0.524505615234375,-0.011410851031541824,-3.0,nan,19.5,19.5,19.5
4,0.9422890880512339,3.7765030118376015,0.013308393768966198,0.5245243310928345,-0.011671517044305801,-3.0,nan,19.5,19.5,19.5
5,0.9422883531046765,4.718791364942278,0.011513537727296352,0.5245257019996643,-0.011672120541334152,-3.0,nan,19.5,19.5,19.5
6,0.9422876665868929,5.66107903152917,0.013806752860546112,0.5245268940925598,-0.011672671884298325,-3.0,nan,19.5,19.5,19.5
7,0.9422885313864264,6.603367562915597,0.009447207674384117,0.5245254039764404,-0.01167197898030281,-3.0,nan,19.5,19.5,19.5
8,0.9422869531938007,7.545654516109398,0.008854513056576252,0.5245283246040344,-0.011673271656036377,-3.0,nan,19.5,19.5,19.5
9,0.9422867648005485,8.487941280909947,0.00802688580006361,0.5245287418365479,-0.01167343556880951,-3.0,nan,19.5,19.5,19.5
10,0.9422864532066243,9.43022773411657,0.010830668732523918,0.5245292782783508,-0.011673685163259506,-3.0,nan,19.5,19.5,19.5
11,0.9422870790553944,10.372514813171964,0.009502296335995197,0.5245273113250732,-0.011673059314489365,-3.0,nan,19.5,19.5,19.5
12,0.9422865974285772,11.314801410600541,0.005303373094648123,0.5245282053947449,-0.011673454195261002,-3.0,nan,19.5,19.5,19.5
13,0.9422850692612784,12.257086479861819,0.004469680599868298,0.5245310068130493,-0.011674702167510986,-3.0,nan,19.5,19.5,19.5
14,0.9422847459592989,13.199371225821118,0.004497375339269638,0.5245316028594971,-0.011674966663122177,-3.0,nan,19.5,19.5,19.5
15,0.9422847909288746,14.141656016749993,0.0038966319989413023,0.5245315432548523,-0.011674933135509491,-3.0,nan,19.5,19.5,19.5
16,0.9422844960987568,15.08394051284875,0.0064385319128632545,0.5245319604873657,-0.011675156652927399,-3.0,nan,19.5,19.5,19.5
17,0.9422854758501052,16.026225988698855,0.003475146135315299,0.524530291557312,-0.011674374341964722,-3.0,nan,19.5,19.5,19.5
18,0.942284397644656,16.96851038634351,0.004902429413050413,0.5245322585105896,-0.011675253510475159,-3.0,nan,19.5,19.5,19.5
19,0.9422849226444959,17.910795308988007,0.0023130415938794613,0.5245312452316284,-0.011674817651510239,-3.0,nan,19.5,19.5,19.5
20,0.9422839926523822,18.85307930164039,0.0023307655937969685,0.5245330333709717,-0.01167558878660202,-3.0,nan,19.5,19.5,19.5
21,0.9422840325662067,19.795363334206595,0.0019457483431324363,0.5245330333709717,-0.01167556643486023,-3.0,nan,19.5,19.5,19.5
22,0.9422838061217751,20.73764714032837,0.0015580224571749568,0.5245332717895508,-0.011675726622343063,-3.0,nan,19.5,19.5,19.5
23,0.9422836661572966,21.679930806485668,0.0015776300569996238,0.5245335102081299,-0.011675838381052017,-3.0,nan,19.5,19.5,19.5
24,0.9422836943630661,22.622214500848735,0.0016209936002269387,0.5245335698127747,-0.01167583093047142,-3.0,nan,19.5,19.5,19.5
25,0.942283684517656,23.56449818536639,0.002375607378780842,0.5245334506034851,-0.011675819754600525,-3.0,nan,19.5,19.5,19.5
26,0.9422839977081332,24.506782183074524,0.002375607378780842,0.5245329737663269,-0.011675577610731125,-3.0,nan,19.5,19.5,19.5
27,0.9422839977081332,25.44906618078266,0.0026924419216811657,0.5245329737663269,-0.011675577610731125,-3.0,nan,19.5,19.5,19.5
28,0.9422840860507318,26.391350266833392,0.0012052678503096104,0.5245327949523926,-0.011675503104925156,-3.0,nan,19.5,19.5,19.5
29,0.9422835794112512,27.333633846244645,0.0006223964737728238,0.524533748626709,-0.011675920337438583,-3.0,nan,19.5,19.5,19.5
30,0.9422833710610866,28.275917217305732,0.00038191318162716925,0.5245341658592224,-0.011676095426082611,-3.0,nan,19.5,19.5,19.5
31,0.9422832095431429,29.218200426848874,0.00038191318162716925,0.5245343446731567,-0.011676210910081863,-3.0,nan,19.5,19.5,19.5
32,0.9422832095431429,30.160483636392016,0.00038191318162716925,0.5245343446731567,-0.011676210910081863,-3.0,nan,19.5,19.5,19.5
33,0.9422832095431429,31.102766845935157,0.00038191318162716925,0.5245343446731567,-0.011676210910081863,-3.0,nan,19.5,19.5,19.5
34,0.9422832095431429,32.0450500554783,0.00038191318162716925,0.5245343446731567,-0.011676210910081863,-3.0,nan,19.5,19.5,19.5
35,0.9422832095431429,32.98733326502144,0.00038191318162716925,0.5245343446731567,-0.011676210910081863,-3.0,nan,19.5,19.5,19.5
36,0.9422832095431429,33.92961647456458,0.00038191318162716925,0.5245343446731567,-0.011676210910081863,-3.0,nan,19.5,19.5,19.5
37,0.9422832095431429,34.871899684107724,0.00038191318162716925,0.5245343446731567,-0.011676210910081863,-3.0,nan,19.5,19.5,19.5
38,0.9422832095431429,35.814182893650866,0.00038191318162716925,0.5245343446731567,-0.011676210910081863,-3.0,nan,19.5,19.5,19.5
39,0.9422832095431429,36.75646610319401,0.0003297996590845287,0.5245343446731567,-0.011676210910081863,-3.0,nan,19.5,19.5,19.5
40,0.942283276066184,37.69874937926019,0.001453189761377871,0.5245343446731567,-0.011676173657178879,-3.0,nan,19.5,19.5,19.5
41,0.9422837092642273,38.641033088524416,0.002023296197876334,0.5245336294174194,-0.01167583093047142,-3.0,nan,19.5,19.5,19.5
42,0.9422838910051754,39.58331697952959,0.0007523822714574635,0.524533212184906,-0.011675670742988586,-3.0,nan,19.5,19.5,19.5
43,0.9422833545633724,40.525600334092964,0.0013094187015667558,0.5245340466499329,-0.011676087975502014,-3.0,nan,19.5,19.5,19.5
44,0.94228356451009,41.467883898603056,0.0008325529051944613,0.5245336890220642,-0.011675920337438583,-3.0,nan,19.5,19.5,19.5
45,0.9422834277387175,42.41016732634177,0.0005499124526977539,0.5245340466499329,-0.011676046997308731,-3.0,nan,19.5,19.5,19.5
46,0.9422833327438149,43.352450659085584,0.0005550384521484375,0.5245342254638672,-0.011676125228404999,-3.0,nan,19.5,19.5,19.5
47,0.9422833527007273,44.29473401178631,0.000128598214359954,0.5245342254638672,-0.011676114052534103,-3.0,nan,19.5,19.5,19.5
48,0.9422831329085997,45.23701714469491,0.00024450302589684725,0.5245344638824463,-0.011676270514726639,-3.0,nan,19.5,19.5,19.5
49,0.9422832111396959,46.179300355834606,0.095567986369133,0.5245344042778015,-0.01167621836066246,-3.0,nan,19.5,19.5,19.5
50,0.9423183299835238,47.12161868581813,0.3741050362586975,0.5244706273078918,-0.011647623032331467,-3.0,nan,19.5,19.5,19.5
51,0.9424172305869204,48.06403591640505,0.5374521613121033,0.5242836475372314,-0.011566061526536942,-3.0,nan,19.5,19.5,19.5
52,0.94278159963446,49.006817516039504,0.6611393094062805,0.5242323279380798,-0.011354830116033554,-3.0,nan,19.5,19.5,19.5
53,0.9429886776123728,49.949806193651874,0.801532506942749,0.5241875648498535,-0.01123259961605072,-3.0,nan,19.5,19.5,19.5
54,0.942266280493566,50.892072474145436,0.9165931940078735,0.5240550637245178,-0.011618591845035553,-3.0,nan,19.5,19.5,19.5
55,0.9422498269506863,51.83432230109612,0.9519649147987366,0.5237606763839722,-0.011586591601371765,-3.0,nan,19.5,19.5,19.5
56,0.9412623884656599,52.77558468956178,1.0255913734436035,0.5239025950431824,-0.012159425765275955,-3.0,nan,19.5,19.5,19.5
57,0.9412884460730212,53.716873135634806,1.076223373413086,0.5238529443740845,-0.01213788241147995,-3.0,nan,19.5,19.5,19.5
58,0.9416110461013657,54.65848418173617,1.1236624717712402,0.5238769054412842,-0.011960580945014954,-3.0,nan,19.5,19.5,19.5
59,0.9434362222807747,55.601920404016944,1.187922716140747,0.5238559246063232,-0.010935544967651367,-3.0,nan,19.5,19.5,19.5
60,0.9434589883280652,56.54537939234501,1.2114468812942505,0.5238125324249268,-0.01091672107577324,-3.0,nan,19.5,19.5,19.5
61,0.9443326354260955,57.489712027771105,1.2606710195541382,0.5238140225410461,-0.01042768731713295,-3.0,nan,19.5,19.5,19.5
62,0.9443509196830647,58.43406294745417,1.2869375944137573,0.523780882358551,-0.010412808507680893,-3.0,nan,19.5,19.5,19.5
63,0.9443613103159836,59.378424257770156,1.3299766778945923,0.5237632393836975,-0.010404519736766815,-3.0,nan,19.5,19.5,19.5
64,0.9450312162318399,60.323455474001996,1.3465242385864258,0.5237388610839844,-0.010025959461927414,-3.0,nan,19.5,19.5,19.5
65,0.9450373587033578,61.268492832705356,1.3353676795959473,0.5237277746200562,-0.010020967572927475,-3.0,nan,19.5,19.5,19.5
66,0.9455899371334484,62.214082769838804,1.3336091041564941,0.5237056016921997,-0.009708419442176819,-3.0,nan,19.5,19.5,19.5
67,0.9512836171558925,63.1653663869947,1.3668229579925537,0.5236486792564392,-0.009871989488601685,-2.0,nan,19.5,19.5,19.5
68,0.953849321441991,64.11921570843668,1.362823486328125,0.5234158635139465,-0.008402600884437561,-2.0,nan,19.5,19.5,19.5
69,0.9559819926619529,65.07519770109863,1.4168124198913574,0.5234256386756897,-0.007209673523902893,-2.0,nan,19.5,19.5,19.5
70,0.9566000060822282,66.03179770718086,1.4374982118606567,0.5234172344207764,-0.00686240941286087,-2.0,nan,19.5,19.5,19.5
71,0.9560481410452297,66.98784584822609,1.4894124269485474,0.5234439373016357,-0.00717519223690033,-2.0,nan,19.5,19.5,19.5
72,0.9560674870099339,67.94391333523602,1.5340354442596436,0.5234087109565735,-0.007159426808357239,-2.0,nan,19.5,19.5,19.5
73,0.9570542094409465,68.90096754467696,1.555540919303894,0.5231424570083618,-0.00656958669424057,-2.0,nan,19.5,19.5,19.5
74,0.9557836153656244,69.85675116004258,1.5984275341033936,0.5233054757118225,-0.007303941994905472,-2.0,nan,19.5,19.5,19.5
75,0.9558015704665865,70.81255273050917,1.6187208890914917,0.523276686668396,-0.007289856672286987,-2.0,nan,19.5,19.5,19.5
76,0.9558084228719983,71.76836115338116,1.6099224090576172,0.5232627987861633,-0.007284075021743774,-2.0,nan,19.5,19.5,19.5
77,0.9555544094294309,72.72391556281059,1.6355440616607666,0.5233568549156189,-0.007439490407705307,-2.0,nan,19.5,19.5,19.5
78,0.9555650041550398,73.67948056696562,1.6537858247756958,0.5233396291732788,-0.007431145757436752,-2.0,nan,19.5,19.5,19.5
79,0.9555729057618549,74.63505347272748,1.6702505350112915,0.5233274102210999,-0.0074250102043151855,-2.0,nan,19.5,19.5,19.5
80,0.9555790982586997,75.59063257098617,1.7106096744537354,0.5233162045478821,-0.007419973611831665,-2.0,nan,19.5,19.5,19.5
81,0.9555328091319117,76.54616538011808,1.7304227352142334,0.5232736468315125,-0.0074399374425411224,-2.0,nan,19.5,19.5,19.5
82,0.9555407203180449,77.50170610043612,1.747097373008728,0.5232602953910828,-0.007433637976646423,-2.0,nan,19.5,19.5,19.5
83,0.9555477975713355,78.45725389800747,1.7868633270263672,0.523249089717865,-0.007428105920553207,-2.0,nan,19.5,19.5,19.5
84,0.9555627737705197,79.41281667177799,1.8043084144592285,0.5232220888137817,-0.007415939122438431,-2.0,nan,19.5,19.5,19.5
85,0.9570622704369681,80.36987894221495,1.8280867338180542,0.5230604410171509,-0.006553590297698975,-2.0,nan,19.5,19.5,19.5
86,0.9576666908051286,81.32754563302008,1.8546721935272217,0.5230720639228821,-0.006216742098331451,-2.0,nan,19.5,19.5,19.5
87,0.9561845931070191,82.2837302261271,1.8950486183166504,0.5232040286064148,-0.007065191864967346,-2.0,nan,19.5,19.5,19.5
88,0.9569681158534118,83.24069834198052,1.9177173376083374,0.5232135057449341,-0.0066277459263801575,-2.0,nan,19.5,19.5,19.5
89,0.9587912455179861,84.1994895874985,1.931280255317688,0.5232082605361938,-0.005606058984994888,-2.0,nan,19.5,19.5,19.5
90,0.9582721805976969,85.15776176809621,1.958581566810608,0.5230404138565063,-0.005873236805200577,-2.0,nan,19.5,19.5,19.5
91,0.9582825738915375,86.11604434198775,1.9921432733535767,0.5230218768119812,-0.005864821374416351,-2.0,nan,19.5,19.5,19.5
92,0.9592335002741643,87.07527784226191,2.008157730102539,0.522962749004364,-0.005324024707078934,-2.0,nan,19.5,19.5,19.5
93,0.9661867395298821,88.0414645817918,2.0250861644744873,0.5230083465576172,-0.0047965943813323975,-1.0,nan,19.5,19.5,19.5
94,0.9675228489552226,89.00898743074703,2.040888786315918,0.5229197144508362,-0.004035964608192444,-1.0,nan,19.5,19.5,19.5
95,0.9674699886824403,89.97645741942947,2.0508036613464355,0.5228938460350037,-0.004061944782733917,-1.0,nan,19.5,19.5,19.5
96,0.9674747873885291,90.94393220681799,2.07053804397583,0.5228872299194336,-0.004058331251144409,-1.0,nan,19.5,19.5,19.5
97,0.9674824558986085,91.9114146627166,2.1024019718170166,0.5228737592697144,-0.004052150994539261,-1.0,nan,19.5,19.5,19.5
98,0.9680545585751533,92.87946922129174,2.116846799850464,0.5228220224380493,-0.003724530339241028,-1.0,nan,19.5,19.5,19.5
99,0.9680601757807391,93.84752939707248,2.131744146347046,0.5228121876716614,-0.003720007836818695,-1.0,nan,19.5,19.5,19.5
100,0.9695675317453486,94.81709692881783,2.1516706943511963,0.5226508975028992,-0.0028533078730106354,-1.0,nan,19.5,19.5,19.5
101,0.9695764790943691,95.7866734079122,2.1636693477630615,0.5226374864578247,-0.0028464198112487793,-1.0,nan,19.5,19.5,19.5
102,0.9703010786580187,96.75697448657023,2.185525417327881,0.522648811340332,-0.00244222953915596,-1.0,nan,19.5,19.5,19.5
103,0.9710799040794372,97.72805439064966,2.1984236240386963,0.5226709246635437,-0.002009183168411255,-1.0,nan,19.5,19.5,19.5
104,0.9710850377955607,98.69913942844522,2.2106773853302,0.5226621627807617,-0.0020050816237926483,-1.0,nan,19.5,19.5,19.5
105,0.9710898551281009,99.67022928357332,2.2218117713928223,0.5226537585258484,-0.002001207321882248,-1.0,nan,19.5,19.5,19.5
106,0.9715628004223108,100.64179208399563,2.2464239597320557,0.5226271748542786,-0.0017326362431049347,-1.0,nan,19.5,19.5,19.5
107,0.9715739715035472,101.61336605549917,2.272141456604004,0.522610604763031,-0.0017240606248378754,-1.0,nan,19.5,19.5,19.5
108,0.9715841607046979,102.58495021620386,2.303232431411743,0.5225931406021118,-0.0017159096896648407,-1.0,nan,19.5,19.5,19.5
109,0.971595742898328,103.5565459591022,2.3317952156066895,0.5225718021392822,-0.001706436276435852,-1.0,nan,19.5,19.5,19.5
110,0.9716056867625031,104.5281516458647,2.359778881072998,0.5225521326065063,-0.0016981139779090881,-1.0,nan,19.5,19.5,19.5
111,0.9716191635323422,105.49977080939703,2.3731207847595215,0.5225334763526917,-0.0016879551112651825,-1.0,nan,19.5,19.5,19.5
112,0.9716243741491011,106.47139518354614,2.3917338848114014,0.522524356842041,-0.0016837604343891144,-1.0,nan,19.5,19.5,19.5
113,0.9716311954217297,107.44302637896787,2.401796340942383,0.5225115418434143,-0.0016781464219093323,-1.0,nan,19.5,19.5,19.5
114,0.9716351761605058,108.41466155512838,2.4261634349823,0.5225046873092651,-0.0016749575734138489,-1.0,nan,19.5,19.5,19.5
115,0.9738293960945946,109.38849095122298,2.4398045539855957,0.5224564075469971,-0.0004394352436065674,-1.0,nan,19.5,19.5,19.5
116,0.9731164372648511,110.36160738848783,2.4676625728607178,0.5224279165267944,-0.0008347034454345703,-1.0,nan,19.5,19.5,19.5
117,0.9742616524377039,111.33586904092553,2.4814834594726562,0.5224180221557617,0.0001919977366924286,-1.0,nan,19.5,19.5,19.5
118,0.974251381812351,112.31012042273788,2.5005886554718018,0.5224086046218872,0.00019643083214759827,-1.0,nan,19.5,19.5,19.5
119,0.9742372435373919,113.28435766627527,2.5281965732574463,0.5223956108093262,0.00020252913236618042,-1.0,nan,19.5,19.5,19.5
120,0.9742167339516538,114.25857440022692,2.541888952255249,0.5223767161369324,0.00021136924624443054,-1.0,nan,19.5,19.5,19.5
121,0.9802065846643278,115.23878098489125,2.566102981567383,0.5223673582077026,0.00021574273705482483,0.0,nan,19.5,19.5,19.5
122,0.9787066218044076,116.21748760669566,2.5774192810058594,0.5221644043922424,0.0010273084044456482,0.0,nan,19.5,19.5,19.5
123,0.9786981188293014,117.19618572552496,2.599867105484009,0.5221566557884216,0.00103098526597023,0.0,nan,19.5,19.5,19.5
124,0.9786812972809587,118.17486702280591,2.612205982208252,0.5221413373947144,0.0010382607579231262,0.0,nan,19.5,19.5,19.5
125,0.9786721181656632,119.15353914097157,2.635735034942627,0.522132933139801,0.0010422244668006897,0.0,nan,19.5,19.5,19.5
126,0.9786556369491985,120.13219477792077,2.6479175090789795,0.5221166610717773,0.0010491758584976196,0.0,nan,19.5,19.5,19.5
127,0.9786465259534972,121.11084130387427,2.669794797897339,0.5221083164215088,0.0010531097650527954,0.0,nan,19.5,19.5,19.5
128,0.9786316817360264,122.0894729856103,2.6825640201568604,0.5220930576324463,0.0010592862963676453,0.0,nan,19.5,19.5,19.5
129,0.9786208895700318,123.06809387518034,2.705637216567993,0.5220845341682434,0.0010641366243362427,0.0,nan,19.5,19.5,19.5
130,0.9786048420837947,124.04669871726414,2.7164809703826904,0.5220685601234436,0.0010708868503570557,0.0,nan,19.5,19.5,19.5
131,0.9785954953304359,125.02529421259457,2.744011402130127,0.5220613479614258,0.0010751113295555115,0.0,nan,19.5,19.5,19.5
132,0.978574880904385,126.00386909349896,2.7561135292053223,0.5220425128936768,0.001084018498659134,0.0,nan,19.5,19.5,19.5
133,0.9785658728863511,126.98243496638531,2.767723798751831,0.5220342874526978,0.0010879114270210266,0.0,nan,19.5,19.5,19.5
134,0.9785570857248136,127.96099205211013,2.796879768371582,0.5220263600349426,0.0010917223989963531,0.0,nan,19.5,19.5,19.5
135,0.9767723635371242,128.93776441564725,2.8098175525665283,0.5218956470489502,0.0020728670060634613,0.0,nan,19.5,19.5,19.5
136,0.976762606203556,129.9145270218508,2.8227720260620117,0.5218867659568787,0.0020770877599716187,0.0,nan,19.5,19.5,19.5
137,0.976752857118845,130.89127987896964,2.8482980728149414,0.5218779444694519,0.0020813122391700745,0.0,nan,19.5,19.5,19.5
138,0.9767337862934384,131.86801366526308,2.860959053039551,0.5218603610992432,0.0020895302295684814,0.0,nan,19.5,19.5,19.5
139,0.9772630311016526,132.84527669636472,2.87671160697937,0.5219296813011169,0.0018028579652309418,0.0,nan,19.5,19.5,19.5
140,0.9772512136825493,133.82252791004726,2.901146173477173,0.5219188928604126,0.001807965338230133,0.0,nan,19.5,19.5,19.5
141,0.9772328969623361,134.7997608070096,2.913940668106079,0.5219021439552307,0.0018158778548240662,0.0,nan,19.5,19.5,19.5
142,0.9772233224340847,135.77698412944366,2.92851185798645,0.5218933820724487,0.0018200129270553589,0.0,nan,19.5,19.5,19.5
