Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Speed,Brake
1,0.6860651519570965,0.6860651519570965,1.0,0.011230282485485077,2.0,0.0011080264812335372,-1.0
2,0.6860775568185373,1.372142708775634,1.0,0.0061656758189201355,2.0,0.0013189935125410557,-1.0
3,0.686025602361816,2.05816831113745,1.0,0.00616561621427536,2.0,0.00043541431659832597,-1.0
4,0.6860848436246626,2.7442531547621125,1.0,0.00616561621427536,2.0,0.001442918786779046,-1.0
5,0.686098441224778,3.4303515959868904,1.0,0.006165556609630585,2.0,0.001674170489422977,-1.0
6,0.686033592918259,4.1163851889051495,1.0,0.006165556609630585,2.0,0.0005713081336580217,-1.0
7,0.6860547532142838,4.802439942119433,1.0,0.00616522878408432,2.0,0.0009311771136708558,-1.0
8,0.6860475878184195,5.488487529937852,1.0,0.006165198981761932,2.0,0.0008093166397884488,-1.0
9,0.6860916663932614,6.174579196331114,1.0,0.00616561621427536,2.0,0.0015589522663503885,-1.0
10,0.686039318000921,6.860618514332034,1.0,0.006165407598018646,2.0,0.0006686734850518405,-1.0
11,0.6860317438084632,7.546650258140498,1.0,0.0061652883887290955,2.0,0.000539860688149929,-1.0
12,0.6860220656449441,8.232672323785442,1.0,0.006165497004985809,2.0,0.00037526607047766447,-1.0
13,0.706832799243927,8.939505123029369,1.0,0.0061652883887290955,2.0,0.35429930686950684,-1.0
14,0.7243042493581772,9.663809372387545,1.0,0.006165347993373871,2.0,0.6514328122138977,-1.0
15,0.7412395458459854,10.40504891823353,1.0,0.006166867911815643,2.0,0.9394480586051941,-1.0
16,0.7491311318397521,11.154180050073283,1.0,0.008364759385585785,2.0,1.0736587047576904,-1.0
17,0.7599346664905547,11.914114716563837,1.0,0.006902061402797699,2.0,1.2573922872543335,-1.0
18,0.7715102912425994,12.685625007806436,1.0,0.008975468575954437,2.0,1.4542566537857056,-1.0
19,0.7807124481201171,13.466337455926553,1.0,0.008878521621227264,2.0,1.6107559204101562,-1.0
20,0.7887279166221618,14.255065372548714,1.0,0.010213546454906464,2.0,1.7470734119415283,-1.0
21,0.8048069108009338,15.059872283349648,1.0,0.010952256619930267,2.0,2.0205256938934326,-1.0
22,0.8160040222167968,15.875876305566445,1.0,0.010116122663021088,2.0,2.2109527587890625,-1.0
23,0.8260873230934143,16.701963628659858,1.0,0.009873829782009125,2.0,2.3824374675750732,-1.0
24,0.8332061635971069,17.535169792256966,1.0,0.010416321456432343,2.0,2.5035061836242676,-1.0
25,0.8468360923767089,18.382005884633674,1.0,0.010418318212032318,2.0,2.7353076934814453,-1.0
26,0.8575685436248779,19.239574428258553,1.0,0.009336821734905243,2.0,2.917832374572754,-1.0
27,0.8685477294921874,20.108122157750742,1.0,0.009337566792964935,2.0,3.10455322265625,-1.0
28,0.8766431624412536,20.984765320191997,1.0,0.009337656199932098,2.0,3.2422306537628174,-1.0
29,0.8883750150680542,21.87314033526005,1.0,0.008952520787715912,2.0,3.4417519569396973,-1.0
30,0.9096584574222564,22.782798792682307,1.0,0.00895266979932785,1.0,3.647448778152466,-1.0
31,0.9224153893947601,23.705214182077068,1.0,0.008569620549678802,1.0,3.8622119426727295,-1.0
