Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Velocity,Brake
1,0.735056395289721,0.735056395289721,0.5,0.01,2.0,0.0011279057944193482,-1.0
2,0.735055731536122,1.470112126825843,0.5,0.01,2.0,0.0011146307224407792,-1.0
3,0.7350187480458408,2.205130874871684,0.5,0.01,2.0,0.0003749609168153256,-1.0
4,0.7350323827262036,2.9401632575978875,0.5,0.01,2.0,0.0006476545240730047,-1.0
5,0.7350381145480788,3.6752013721459664,0.5,0.01,2.0,0.0007622909615747631,-1.0
6,0.7350146932594361,4.410216065405402,0.5,0.01,2.0,0.00029386518872343004,-1.0
7,0.7350368328095647,5.145252898214967,0.5,0.01,2.0,0.0007366561912931502,-1.0
8,0.7350241990084759,5.880277097223442,0.5,0.01,2.0,0.00048398016951978207,-1.0
9,0.735012918234279,6.615290015457721,0.5,0.01,2.0,0.00025836468557827175,-1.0
10,0.7350078721044702,7.350297887562191,0.5,0.01,2.0,0.00015744208940304816,-1.0
11,0.7350324201566399,8.08533030771883,0.5,0.01,2.0,0.0006484031328000128,-1.0
12,0.7350125188831589,8.82034282660199,0.5,0.01,2.0,0.0002503776631783694,-1.0
13,0.7350235953339143,9.555366421935904,0.5,0.01,2.0,0.00047190667828544974,-1.0
14,0.73503410744539,10.290400529381294,0.5,0.01,2.0,0.0006821489077992737,-1.0
15,0.7350227944852668,11.025423323866562,0.5,0.01,2.0,0.0004558897053357214,-1.0
16,0.7350364246370736,11.760459748503635,0.5,0.01,2.0,0.0007284927414730191,-1.0
17,0.7350424082274548,12.49550215673109,0.5,0.01,2.0,0.0008481645490974188,-1.0
18,0.7350283761008177,13.230530532831908,0.5,0.01,2.0,0.0005675220163539052,-1.0
19,0.7350306661124341,13.965561198944343,0.5,0.01,2.0,0.0006133222486823797,-1.0
20,0.7350363018509233,14.700597500795267,0.5,0.01,2.0,0.0007260370184667408,-1.0
21,0.735018135785649,15.435615636580916,0.5,0.01,2.0,0.00036271571298129857,-1.0
22,0.7350338444689987,16.170649481049914,0.5,0.01,2.0,0.0006768893799744546,-1.0
23,0.7383371731638908,16.908986654213805,0.5,0.01,2.0,0.06674346327781677,-1.0
24,0.756728067100048,17.665714721313854,0.5,0.01,2.0,0.4345613420009613,-1.0
25,0.7682005649805069,18.43391528629436,0.5,0.01,2.0,0.6640112996101379,-1.0
26,0.7733701771497726,19.207285463444133,0.5,0.01,2.0,0.7674035429954529,-1.0
27,0.7771965003013611,19.984481963745495,0.5,0.01,2.0,0.8439300060272217,-1.0
28,0.7846707558631897,20.769152719608684,0.5,0.01,2.0,0.993415117263794,-1.0
29,0.7877042150497436,21.556856934658427,0.5,0.01,2.0,1.054084300994873,-1.0
