Steps,Reward,Accumulated reward,velocity,Throttle,Steer,deviation,Distance,Distance right front,Distance right,Distance right back
1,0.7441162409906588,0.7441162409906588,0.008718074299395084,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
2,0.7440997016951443,1.488215942685803,0.007477627135813236,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
3,0.7440975465774538,2.232313489263257,0.007315993309020996,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
4,0.7440930530702076,2.9764065423334647,0.006978980265557766,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
5,0.7440750936754049,3.7204816360088695,0.00563202565535903,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
6,0.7440691976211966,4.464550833630066,0.005189821589738131,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
7,0.7440653532395761,5.208616186869643,0.004901492968201637,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
8,0.7440555934136114,5.952671780283254,0.004169506020843983,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
9,0.7440486383587123,6.6967204186419655,0.0036478769034147263,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
10,0.7440523793697358,7.440772798011701,0.003928452730178833,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
11,0.7440416806930056,8.184814478704707,0.003126051975414157,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
12,0.7440431332054238,8.92885761191013,0.003234990406781435,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
13,0.7440368572771551,9.672894469187286,0.0027642957866191864,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
14,0.7440643799888592,10.416958849176146,0.004828499164432287,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
15,0.744031506707892,11.160990355884037,0.0023630030918866396,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
16,0.7440233390259868,11.905013694910023,0.0017504269490018487,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
17,0.7440154503838471,12.64902914529387,0.0011587787885218859,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
18,0.7440154503838471,13.393044595677717,0.0011587787885218859,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
19,0.7440281055551023,14.13707270123282,0.002107916632667184,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
20,0.7440017665873748,14.881074467820195,0.00013249405310489237,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
21,0.744004540939505,15.6250790087597,0.0003405704628676176,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
22,0.7440117540227561,16.369090762782456,0.0008815517066977918,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
23,0.7440025368829182,17.113093299665373,0.00019026621885132045,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
24,0.7440039109591551,17.857097210624527,0.00029332193662412465,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
25,0.7440008287871607,18.60109803941169,6.215903704287484e-05,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
26,0.744001977487118,19.345100016898808,0.00014831153384875506,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
27,0.7440030167579341,20.08910303365674,0.00022625684505328536,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
28,0.7440016287460071,20.833104662402746,0.00012215595052111894,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
29,0.7440023618055276,21.577107024208274,0.00017713541456032544,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
30,0.7440041754431248,22.321111199651398,0.00031315823434852064,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
31,0.7440041754431248,23.06511537509452,0.00031315823434852064,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
32,0.7440041754431248,23.809119550537645,0.00031315823434852064,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
33,0.7440237459875644,24.55314329652521,0.0017809490673244,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
34,0.7440041264745718,25.29714742299978,0.00030948559287935495,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
35,0.7440212800580388,26.04116870305782,0.0015960043529048562,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
36,0.744008629167763,26.785177332225583,0.0006471875822171569,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
37,0.744001824098484,27.529179156324066,0.0001368073862977326,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
38,0.744001824098484,28.27318098042255,0.0001368073862977326,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
39,0.744001824098484,29.01718280452103,0.0001368073862977326,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
40,0.744001824098484,29.761184628619514,0.0001368073862977326,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
41,0.744001824098484,30.505186452717997,0.0001368073862977326,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
42,0.744001824098484,31.24918827681648,0.0001368073862977326,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
43,0.744001824098484,31.993190100914962,0.0001368073862977326,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
44,0.744001824098484,32.73719192501345,0.0001368073862977326,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
45,0.7440096587068402,33.481201583720285,0.000724403013009578,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
46,0.744023102592677,34.22522468631296,0.0017326944507658482,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
47,0.7440166705266263,34.96924135683959,0.0012502894969657063,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
48,0.7440163493879761,35.713257706227566,0.0012262040982022882,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
49,0.7440012206853718,36.457258926912935,9.15514028747566e-05,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
50,0.7440088920281269,37.20126781894106,0.0006669021095149219,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
51,0.7440086542808763,37.94527647322194,0.0006490710657089949,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
52,0.7440103735201993,38.689286846742135,0.0007780140149407089,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
53,0.7440104504195043,39.43329729716164,0.0007837814628146589,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
54,0.7440051191864381,40.17730241634808,0.00038393898284994066,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
55,0.7440073894578965,40.921309805805976,0.0005542093422263861,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
56,0.7440022824025171,41.665312088208495,0.0001711801887722686,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
57,0.7440009624040105,42.409313050612504,7.218030077638105e-05,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
58,0.7440014595724256,43.15331451018493,0.00010946793190669268,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
59,0.7440025830171461,43.897317093202076,0.00019372628594283015,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
60,0.7440028214869479,44.64131991468902,0.00021161152108106762,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
61,0.7440034487495821,45.3853233634386,0.00025865621864795685,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
62,0.7440059153027058,46.12932927874131,0.00044364770292304456,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
63,0.7440008432786369,46.873330122019944,6.324589776340872e-05,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
64,0.7440051049604858,47.61733522698043,0.0003828720364253968,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
65,0.7440160291185604,48.36135125609899,0.001202183892019093,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
66,0.7440026975185999,49.105353953617595,0.00020231389498803765,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
67,0.7440041442387738,49.84935809785637,0.0003108179080300033,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
68,0.7440009270220957,50.59335902487846,6.952665717108175e-05,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
69,0.7440061109196395,51.3373651357981,0.0004583189729601145,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
70,0.7440064642413055,52.081371600039404,0.0004848180979024619,0.2,-0.14,-7.0,nan,19.5,19.5,19.5
