Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Speed,Brake
1,0.7840125778198708,0.7840125778198708,0.2,0.16,2.0,0.00031444549676962197,-1.0
2,0.7840042963042506,1.5680168741241214,0.2,0.16,2.0,0.00010740760626504198,-1.0
3,0.7840075952528278,2.352024469376949,0.2,0.16,2.0,0.00018988132069353014,-1.0
4,0.784,3.136024469376949,0.2,0.16,2.0,0.0,-1.0
5,0.784033623885829,3.920058093262778,0.2,0.16,2.0,0.0008405971457250416,-1.0
6,0.7840614744191989,4.7041195676819765,0.2,0.16,2.0,0.0015368604799732566,-1.0
7,0.7840420427322388,5.488161610414215,0.2,0.16,2.0,0.0010510683059692383,-1.0
8,0.7840217844010331,6.272183394815248,0.2,0.16,2.0,0.0005446100258268416,-1.0
9,0.7840197837827727,7.056203178598021,0.2,0.16,2.0,0.0004945945693179965,-1.0
10,0.7841192211080343,7.840322399706055,0.2,0.16,2.0,0.002980527700856328,-1.0
11,0.7840089363096049,8.62433133601566,0.2,0.16,2.0,0.00022340774012263864,-1.0
12,0.784001843071077,9.408333179086737,0.2,0.16,2.0,4.6076776925474405e-05,-1.0
13,0.7840018209460541,10.192335000032791,0.2,0.16,2.0,4.552365135168657e-05,-1.0
14,0.7840307861319743,10.976365786164767,0.2,0.16,2.0,0.0007696532993577421,-1.0
15,0.7840036172865658,11.760369403451332,0.2,0.16,2.0,9.043216414283961e-05,-1.0
16,0.7841102474145591,12.544479650865892,0.2,0.16,2.0,0.0027561853639781475,-1.0
17,0.7840101022713353,13.328489753137227,0.2,0.16,2.0,0.0002525567833799869,-1.0
18,0.7840098354334477,14.112499588570675,0.2,0.16,2.0,0.00024588583619333804,-1.0
19,0.7840014102936257,14.896500998864301,0.2,0.16,2.0,3.525734064169228e-05,-1.0
20,0.7841040325127542,15.680605031377056,0.2,0.16,2.0,0.0026008128188550472,-1.0
21,0.7840064739224035,16.46461150529946,0.2,0.16,2.0,0.00016184806008823216,-1.0
22,0.7840099769595545,17.248621482259015,0.2,0.16,2.0,0.00024942398886196315,-1.0
23,0.7840016937256442,18.03262317598466,0.2,0.16,2.0,4.234314110362902e-05,-1.0
24,0.7840086252210895,18.81663180120575,0.2,0.16,2.0,0.0002156305272364989,-1.0
25,0.784017728805542,19.600649530011292,0.2,0.16,2.0,0.0004432201385498047,-1.0
26,0.7840113838189282,20.38466091383022,0.2,0.16,2.0,0.00028459547320380807,-1.0
27,0.784,21.16866091383022,0.2,0.16,2.0,0.0,-1.0
28,0.7840103979115375,21.952671311741756,0.2,0.16,2.0,0.0002599477884359658,-1.0
29,0.7840103515619412,22.7366816633037,0.2,0.16,2.0,0.0002587890485301614,-1.0
30,0.7840134359358345,23.520695099239532,0.2,0.16,2.0,0.0003358983958605677,-1.0
31,0.784009056472336,24.304704155711867,0.2,0.16,2.0,0.00022641180839855224,-1.0
32,0.7840107637408655,25.088714919452734,0.2,0.16,2.0,0.00026909352163784206,-1.0
33,0.7840124399189372,25.87272735937167,0.2,0.16,2.0,0.0003109979734290391,-1.0
34,0.7840278949737549,26.656755254345423,0.2,0.16,2.0,0.0006973743438720703,-1.0
35,0.7840002775312532,27.440755531876675,0.2,0.16,2.0,6.938281330803875e-06,-1.0
36,0.7840062858586898,28.224761817735367,0.2,0.16,2.0,0.00015714646724518389,-1.0
37,0.7840056131370365,29.008767430872403,0.2,0.16,2.0,0.00014032842591404915,-1.0
38,0.7840050783163169,29.79277250918872,0.2,0.16,2.0,0.00012695790792349726,-1.0
39,0.7840135740276892,30.57678608321641,0.2,0.16,2.0,0.00033935069222934544,-1.0
40,0.7840200326903723,31.36080611590678,0.2,0.16,2.0,0.0005008172593079507,-1.0
41,0.7840132730486803,32.14481938895546,0.2,0.16,2.0,0.00033182621700689197,-1.0
42,0.7840070114136907,32.928826400369154,0.2,0.16,2.0,0.0001752853422658518,-1.0
43,0.7840171302794479,33.7128435306486,0.2,0.16,2.0,0.0004282569861970842,-1.0
44,0.784002599528234,34.496846130176834,0.2,0.16,2.0,6.49882058496587e-05,-1.0
