Steps,Reward,Accumulated reward,velocity,Throttle,Steer,deviation,Distance,Distance right front,Distance right,Distance right back
1,0.7760282803860804,0.7760282803860804,0.002121028956025839,0.4,0.06,3.0,nan,19.5,19.5,19.5
2,0.7760092803950732,1.5520375607811536,0.0006960296304896474,0.4,0.06,3.0,nan,19.5,19.5,19.5
3,0.7760099178310484,2.328047478612202,0.0007438373286277056,0.4,0.06,3.0,nan,19.5,19.5,19.5
4,0.7760079755143573,3.1040554541265593,0.0005981635767966509,0.4,0.06,3.0,nan,19.5,19.5,19.5
5,0.7760038647969875,3.880059318923547,0.00028985977405682206,0.4,0.06,3.0,nan,19.5,19.5,19.5
6,0.7760252916958804,4.656084610619427,0.001896877191029489,0.4,0.06,3.0,nan,19.5,19.5,19.5
7,0.7760157251985123,5.432100335817939,0.001179389888420701,0.4,0.06,3.0,nan,19.5,19.5,19.5
8,0.7760298475908737,6.208130183408812,0.002238569315522909,0.4,0.06,3.0,nan,19.5,19.5,19.5
9,0.7760030633289134,6.984133246737725,0.00022974966850597411,0.4,0.06,3.0,nan,19.5,19.5,19.5
10,0.7760052182516083,7.760138464989334,0.00039136887062340975,0.4,0.06,3.0,nan,19.5,19.5,19.5
11,0.7760018604278254,8.53614032541716,0.000139532086905092,0.4,0.06,3.0,nan,19.5,19.5,19.5
12,0.7760115589774214,9.31215188439458,0.0008669233066029847,0.4,0.06,3.0,nan,19.5,19.5,19.5
13,0.7760174762727693,10.08816936066735,0.0013107204576954246,0.4,0.06,3.0,nan,19.5,19.5,19.5
14,0.7760019781747445,10.864171338842095,0.0001483631058363244,0.4,0.06,3.0,nan,19.5,19.5,19.5
15,0.7760027170820006,11.640174055924096,0.00020378115004859865,0.4,0.06,3.0,nan,19.5,19.5,19.5
16,0.7760010948181929,12.416175150742289,8.211136446334422e-05,0.4,0.06,3.0,nan,19.5,19.5,19.5
17,0.7760088509893976,13.192184001731686,0.0006638242048211396,0.4,0.06,3.0,nan,19.5,19.5,19.5
18,0.7760199302673961,13.968203931999081,0.001494770054705441,0.4,0.06,3.0,nan,19.5,19.5,19.5
19,0.7760149147026241,14.744218846701706,0.0011186026968061924,0.4,0.06,3.0,nan,19.5,19.5,19.5
20,0.7760059209185808,15.520224767620286,0.0004440688935574144,0.4,0.06,3.0,nan,19.5,19.5,19.5
21,0.7760011201865467,16.296225887806834,8.401399099966511e-05,0.4,0.06,3.0,nan,19.5,19.5,19.5
22,0.7760031881967637,17.072229076003598,0.0002391147572780028,0.4,0.06,3.0,nan,19.5,19.5,19.5
23,0.7760031881967637,17.848232264200362,0.0002391147572780028,0.4,0.06,3.0,nan,19.5,19.5,19.5
24,0.7760088581085827,18.624241122308945,0.0006643581436946988,0.4,0.06,3.0,nan,19.5,19.5,19.5
25,0.7760030151378209,19.400244137446766,0.0002261353365611285,0.4,0.06,3.0,nan,19.5,19.5,19.5
26,0.7760090834296619,20.17625322087643,0.0006812572246417403,0.4,0.06,3.0,nan,19.5,19.5,19.5
27,0.776000307857772,20.9522535287342,2.308933289896231e-05,0.4,0.06,3.0,nan,19.5,19.5,19.5
28,0.7760030371985244,21.728256565932725,0.0002277898893225938,0.4,0.06,3.0,nan,19.5,19.5,19.5
29,0.7760059385935311,22.504262504526256,0.0004453945148270577,0.4,0.06,3.0,nan,19.5,19.5,19.5
30,0.7760070215226151,23.280269526048873,0.0005266141961328685,0.4,0.06,3.0,nan,19.5,19.5,19.5
31,0.7760027604422455,24.05627228649112,0.00020703316840808839,0.4,0.06,3.0,nan,19.5,19.5,19.5
32,0.7760013725283983,24.832273659019517,0.0001029396298690699,0.4,0.06,3.0,nan,19.5,19.5,19.5
33,0.7760091699596184,25.608282828979135,0.0006877469713799655,0.4,0.06,3.0,nan,19.5,19.5,19.5
34,0.7760072852452286,26.384290114224363,0.0005463933921419084,0.4,0.06,3.0,nan,19.5,19.5,19.5
35,0.7760072852452286,27.16029739946959,0.0005463933921419084,0.4,0.06,3.0,nan,19.5,19.5,19.5
36,0.7760088038124765,27.93630620328207,0.0006602859357371926,0.4,0.06,3.0,nan,19.5,19.5,19.5
37,0.7760088038124765,28.712315007094546,0.0006602859357371926,0.4,0.06,3.0,nan,19.5,19.5,19.5
38,0.7760153296145921,29.488330336709137,0.0011497210944071412,0.4,0.06,3.0,nan,19.5,19.5,19.5
39,0.7760019567500567,30.264332293459194,0.00014675625425297767,0.4,0.06,3.0,nan,19.5,19.5,19.5
40,0.7760217929839467,31.04035408644314,0.0016344737960025668,0.4,0.06,3.0,nan,19.5,19.5,19.5
41,0.7760217929839467,31.81637587942709,0.0016344737960025668,0.4,0.06,3.0,nan,19.5,19.5,19.5
42,0.7760217929839467,32.59239767241103,0.0016344737960025668,0.4,0.06,3.0,nan,19.5,19.5,19.5
43,0.7760217929839467,33.36841946539498,0.0016344737960025668,0.4,0.06,3.0,nan,19.5,19.5,19.5
44,0.7760217929839467,34.144441258378926,0.0016344737960025668,0.4,0.06,3.0,nan,19.5,19.5,19.5
45,0.7760217929839467,34.92046305136287,0.0016344737960025668,0.4,0.06,3.0,nan,19.5,19.5,19.5
46,0.776,35.696463051362876,0.0,0.4,0.06,3.0,nan,19.5,19.5,19.5
47,0.7760127672830908,36.47247581864597,0.0009575462318025529,0.4,0.06,3.0,nan,19.5,19.5,19.5
48,0.7760089664454572,37.24848478509143,0.0006724834092892706,0.4,0.06,3.0,nan,19.5,19.5,19.5
49,0.7760311378482729,38.0245159229397,0.002335338620468974,0.4,0.06,3.0,nan,19.5,19.5,19.5
50,0.7760045567832422,38.80052047972294,0.0003417587431613356,0.4,0.06,3.0,nan,19.5,19.5,19.5
51,0.7760045567832422,39.57652503650618,0.0003417587431613356,0.4,0.06,3.0,nan,19.5,19.5,19.5
52,0.7785179519255956,40.35504298843178,0.1888463944196701,0.4,0.06,3.0,nan,19.5,19.5,19.5
53,0.7803516155083975,41.13539460394017,0.3263711631298065,0.4,0.06,3.0,nan,19.5,19.5,19.5
54,0.7822065136432648,41.91760111758344,0.4654885232448578,0.4,0.06,3.0,nan,19.5,19.5,19.5
55,0.7841316169102986,42.70173273449374,0.6098712682723999,0.4,0.06,3.0,nan,19.5,19.5,19.5
56,0.7931827607154847,43.49491549520922,0.6887070536613464,0.4,0.06,2.0,nan,19.5,19.5,19.5
57,0.7938596072196961,44.288775102428914,0.7394705414772034,0.4,0.06,2.0,nan,19.5,19.5,19.5
58,0.7945313992500306,45.08330650167895,0.7898549437522888,0.4,0.06,2.0,nan,19.5,19.5,19.5
59,0.7865574448903402,45.86986394656929,0.7918083667755127,0.4,0.06,3.0,nan,19.5,19.5,19.5
60,0.7947588696479798,46.66462281621727,0.8069152235984802,0.4,0.06,2.0,nan,19.5,19.5,19.5
61,0.7948351604143779,47.45945797663165,0.8126370310783386,0.4,0.06,2.0,nan,19.5,19.5,19.5
62,0.795303407351176,48.254761383982824,0.8477555513381958,0.4,0.06,2.0,nan,19.5,19.5,19.5
63,0.8037903947830201,49.058551778765846,0.8842796087265015,0.4,0.06,1.0,nan,19.5,19.5,19.5
64,0.8043944052060445,49.86294618397189,0.9295803904533386,0.4,0.06,1.0,nan,19.5,19.5,19.5
65,0.8049203669230144,50.66786655089491,0.9690275192260742,0.4,0.06,1.0,nan,19.5,19.5,19.5
66,0.8052333453496298,51.473099896244534,0.992500901222229,0.5,0.0,1.0,nan,19.5,19.5,19.5
67,0.8137174352010091,52.28681733144554,1.0288076400756836,0.5,0.0,0.0,nan,19.5,19.5,19.5
68,0.8145369768142701,53.10135430825981,1.0902732610702515,0.5,0.0,0.0,nan,19.5,19.5,19.5
69,0.8147466405232748,53.91610094878308,1.1059980392456055,0.5,0.0,0.0,nan,19.5,19.5,19.5
70,0.8147466405232748,54.73084758930636,1.1059980392456055,0.5,0.0,0.0,nan,19.5,19.5,19.5
71,0.8076454547246298,55.538493044030986,1.173409104347229,0.5,0.0,-1.0,nan,19.5,19.5,19.5
72,0.8162313763300578,56.354724420361045,1.2173532247543335,0.5,0.0,0.0,nan,19.5,19.5,19.5
73,0.808476469039917,57.16320088940096,1.2357351779937744,0.5,0.0,-1.0,nan,19.5,19.5,19.5
74,0.8090082092285157,57.97220909862948,1.2756156921386719,0.5,0.0,-1.0,nan,19.5,19.5,19.5
75,0.8090177491505941,58.78122684778007,1.2763311862945557,0.5,0.0,-1.0,nan,19.5,19.5,19.5
76,0.8012695938746135,59.58249644165468,1.2952195405960083,0.2,-0.14,-2.0,nan,19.5,19.5,19.5
77,0.8094797328313192,60.391976174486004,1.310979962348938,0.2,-0.14,-1.0,nan,19.5,19.5,19.5
78,0.8102476456960043,61.202223820182006,1.3685734272003174,0.5,0.0,-1.0,nan,19.5,19.5,19.5
79,0.8024382804234823,62.004662100605486,1.3828710317611694,0.5,0.0,-2.0,nan,19.5,19.5,19.5
80,0.8025292355219523,62.80719133612744,1.3896926641464233,0.2,-0.14,-2.0,nan,19.5,19.5,19.5
81,0.8029185015360515,63.61010983766349,1.4188876152038574,0.2,-0.14,-2.0,nan,19.5,19.5,19.5
82,0.8029527543385824,64.41306259200206,1.4214565753936768,0.2,-0.14,-2.0,nan,19.5,19.5,19.5
83,0.810504007657369,65.22356659965943,1.3878005743026733,0.2,-0.14,-1.0,nan,19.5,19.5,19.5
84,0.8103820247650146,66.03394862442445,1.3786518573760986,0.5,0.0,-1.0,nan,19.5,19.5,19.5
85,0.8183115593592326,66.85226018378368,1.3733669519424438,0.5,0.0,0.0,nan,19.5,19.5,19.5
86,0.8101314977010091,67.66239168148469,1.3598623275756836,0.5,0.0,-1.0,nan,19.5,19.5,19.5
87,0.8101314977010091,68.4725231791857,1.3598623275756836,0.2,-0.14,-1.0,nan,19.5,19.5,19.5
88,0.8098364149729411,69.28235959415863,1.337731122970581,0.2,-0.14,-1.0,nan,19.5,19.5,19.5
89,0.8099143238067628,70.0922739179654,1.3435742855072021,0.5,0.0,-1.0,nan,19.5,19.5,19.5
