Steps,Reward,Accumulated reward,velocity,Throttle,Steer,deviation,Distance,Distance right front,Distance right,Distance right back
1,0.6187634964955641,0.6187634964955641,0.0,0.47861218452453613,-0.00015008740592747927,3.0,8.101830073356682,19.5,19.5,19.5
2,0.6131876484082076,1.2319511449037717,0.00024104594194795936,0.47529110312461853,-0.01001607533544302,3.0,8.03820936329684,19.5,19.5,19.5
3,0.613504699480155,1.8454558443839266,0.0028422356117516756,0.2839505076408386,-0.0068000247702002525,3.0,8.012431672412019,19.5,19.5,19.5
4,0.6143912229821098,2.459847067366036,0.002061910694465041,0.21774236857891083,-0.005943103693425655,3.0,8.030426560479759,19.5,19.5,19.5
5,0.6024753556769237,3.0623224230429598,0.0017348193796351552,0.45514723658561707,-0.04009086266160011,3.0,8.039099148309493,19.5,19.5,19.5
6,0.6102001149051257,3.6725225379480855,0.0013588332803919911,0.40056613087654114,-0.018801085650920868,3.0,8.042858438908375,19.5,19.5,19.5
7,0.6148134067811801,4.287335944729266,0.0007806444191373885,0.2185756117105484,-0.005970905534923077,3.0,8.04382206435323,19.5,19.5,19.5
8,0.6103138017414337,4.8976497464707,0.001295170746743679,0.4010731279850006,-0.018914319574832916,3.0,8.047636392134379,19.5,19.5,19.5
9,0.6158130843732131,5.513462830843913,0.0009465407929383218,0.2640761137008667,0.004837260581552982,3.0,8.062261000579658,19.5,19.5,19.5
10,0.6164840868238206,6.129946917667734,0.0011350583517923951,0.326217383146286,-0.0042478060349822044,3.0,8.076535972640027,19.5,19.5,19.5
11,0.6167559337959653,6.7467028514636995,0.001955213490873575,0.221061572432518,-0.006445608101785183,3.0,8.109296037373259,19.5,19.5,19.5
12,0.6164963535447665,7.363199205008466,0.0011120557319372892,0.2867031991481781,-0.0067396750673651695,3.0,8.104504790990735,19.5,19.5,19.5
13,0.6175930895353376,7.980792294543804,0.0014785671373829246,0.2868587076663971,-0.0066069019958376884,3.0,8.137033619120812,19.5,19.5,19.5
14,0.6203256554880103,8.601117950031814,0.0015461825532838702,0.29826638102531433,0.00023829273413866758,3.0,8.151233561113425,19.5,19.5,19.5
15,0.613966215065853,9.215084165097666,0.001754169468767941,0.4035056531429291,-0.019555777311325073,3.0,8.167963058702544,19.5,19.5,19.5
16,0.6196740508952661,9.834758215992933,0.0017780398484319448,0.2274400293827057,-0.006085327826440334,3.0,8.195768850117407,19.5,19.5,19.5
17,0.6198394037995322,10.454597619792464,0.002309074392542243,0.22593355178833008,-0.006958759389817715,3.0,8.210564925315623,19.5,19.5,19.5
18,0.6204391808517533,11.075036800644217,0.002286248141899705,0.2915233075618744,-0.007943051867187023,3.0,8.240055537791068,19.5,19.5,19.5
19,0.6221248227145996,11.697161623358816,0.0019549322314560413,0.33270785212516785,-0.006252075545489788,3.0,8.273588911977651,19.5,19.5,19.5
