Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Velocity,Brake,Dist
1,0.616077939350158,0.616077939350158,0.2,-0.16,23.0,0.005845451261848211,-1.0,nan
2,0.6240733896903695,1.2401513290405275,0.5,0.0,22.0,0.00550422677770257,-1.0,nan
3,0.6240553409568966,1.864206669997424,0.5,0.0,22.0,0.004150571767240763,-1.0,nan
4,0.6240338153820486,2.488240485379473,0.5,0.0,22.0,0.0025361536536365747,-1.0,nan
5,0.6240304775219412,3.1122709629014143,0.5,0.0,22.0,0.002285814145579934,-1.0,nan
6,0.6240369948055596,3.7363079577069738,0.5,0.0,22.0,0.0027746104169636965,-1.0,nan
7,0.6240053953806249,4.360313353087599,0.5,0.0,22.0,0.0004046535468660295,-1.0,nan
8,0.6240146794629595,4.984328032550558,0.5,0.0,22.0,0.0011009597219526768,-1.0,nan
9,0.6240090736383573,5.608337106188916,0.5,0.0,22.0,0.000680522876791656,-1.0,nan
10,0.6240001569113012,6.232337263100217,0.5,0.0,22.0,1.176834757643519e-05,-1.0,nan
11,0.6240000686649644,6.8563373317651815,0.5,0.0,22.0,5.1498723223630805e-06,-1.0,nan
12,0.6240188741041348,7.480356205869317,0.5,0.0,22.0,0.0014155578101053834,-1.0,nan
13,0.6240004646302357,8.104356670499552,0.5,0.0,22.0,3.48472676705569e-05,-1.0,nan
14,0.6240001166665728,8.728356787166124,0.5,0.0,22.0,8.749992957746144e-06,-1.0,nan
15,0.6240013139095003,9.352358101075625,0.5,0.0,22.0,9.854321251623333e-05,-1.0,nan
16,0.6240050401687623,9.976363141244388,0.5,0.0,22.0,0.00037801265716552734,-1.0,nan
17,0.6240019959131412,10.60036513715753,0.5,0.0,22.0,0.00014969348558224738,-1.0,nan
18,0.6240095893861727,11.224374726543703,0.5,0.0,22.0,0.000719203962944448,-1.0,nan
19,0.6240096625004276,11.84838438904413,0.5,0.0,22.0,0.000724687532056123,-1.0,nan
20,0.6240000000000001,12.47238438904413,0.5,0.0,22.0,0.0,-1.0,nan
21,0.6240109567004257,13.096395345744556,0.5,0.0,22.0,0.0008217525319196284,-1.0,nan
22,0.6240071417485986,13.720402487493155,0.5,0.0,22.0,0.0005356311448849738,-1.0,nan
23,0.6273526678880057,14.347755155381162,0.5,0.0,22.0,0.2514500916004181,-1.0,nan
24,0.621276374022166,14.969031529403328,0.5,0.0,23.0,0.39572805166244507,-1.0,nan
25,0.6253378520011902,15.594369381404517,0.5,0.0,23.0,0.7003389000892639,-1.0,nan
26,0.6348329455057781,16.229202326910297,0.5,0.0,22.0,0.8124709129333496,-1.0,nan
27,0.6356560586293539,16.86485838553965,0.5,0.0,22.0,0.8742043972015381,-1.0,nan
28,0.6359646636645,17.50082304920415,0.5,0.0,22.0,0.8973497748374939,-1.0,nan
29,0.6381212447484336,18.138944293952584,0.5,0.0,22.0,1.0590933561325073,-1.0,nan
30,0.6467126356760661,18.78565692962865,0.5,0.0,21.0,1.103447675704956,-1.0,nan
31,0.6479258619944255,19.433582791623078,0.5,0.0,21.0,1.1944396495819092,-1.0,nan
32,0.6485132999420166,20.082096091565095,0.5,0.0,21.0,1.2384974956512451,-1.0,nan
33,0.6489040822982788,20.731000173863375,0.5,0.0,21.0,1.2678061723709106,-1.0,nan
34,0.649365509668986,21.38036568353236,0.5,0.0,21.0,1.3024132251739502,-1.0,nan
35,0.6582620239257813,22.038627707458144,0.5,0.0,20.0,1.3696517944335938,-1.0,nan
36,0.658635114034017,22.69726282149216,0.5,0.0,20.0,1.3976335525512695,-1.0,nan
37,0.6592508490880331,23.356513670580192,0.5,0.0,20.0,1.443813681602478,-1.0,nan
38,0.6598066711425782,24.01632034172277,0.5,0.0,20.0,1.4855003356933594,-1.0,nan
39,0.6685332056681316,24.684853547390905,0.5,0.0,19.0,1.5399904251098633,-1.0,nan
40,0.6692125444412231,25.354066091832127,0.5,0.0,19.0,1.5909408330917358,-1.0,nan
41,0.6697523686091106,26.023818460441237,0.5,0.0,19.0,1.6314276456832886,-1.0,nan
42,0.6703605108261108,26.69417897126735,0.5,0.0,19.0,1.677038311958313,-1.0,nan
43,0.6787694145838421,27.372948385851192,0.5,0.0,18.0,1.707706093788147,-1.0,nan
44,0.6792039944330852,28.052152380284276,0.5,0.0,18.0,1.7402995824813843,-1.0,nan
45,0.6795489749908449,28.73170135527512,0.5,0.0,18.0,1.7661731243133545,-1.0,nan
46,0.6879785321553549,29.419679887430476,0.5,0.0,17.0,1.7983899116516113,-1.0,nan
47,0.6881917753219605,30.107871662752437,0.5,0.0,17.0,1.8143831491470337,-1.0,nan
48,0.6885590432484945,30.796430706000933,0.5,0.0,17.0,1.841928243637085,-1.0,nan
49,0.6889727535247803,31.485403459525713,0.5,0.0,17.0,1.8729565143585205,-1.0,nan
50,0.6974660511016846,32.1828695106274,0.5,0.0,16.0,1.9099538326263428,-1.0,nan
