Steps,Reward,Accumulated reward,velocity,Throttle,Steer,deviation,Distance,Distance right front,Distance right,Distance right back
1,0.3059997851910099,0.3059997851910099,0.0,0.44081345200538635,0.007526586297899485,0.0,18.408716237237996,19.5,19.5,19.5
2,0.3140710938076887,0.6200708789986986,0.020444411784410477,0.44351890683174133,-0.004838874097913504,0.0,18.881181004933083,19.5,19.5,19.5
3,0.31977266280041555,0.9398435417991142,0.017158089205622673,0.4398186504840851,0.013245293870568275,0.0,19.27291426474126,19.5,19.5,19.5
4,0.9351357319702704,1.8749792737693847,0.020816555246710777,0.4392321705818176,0.015784988179802895,0.0,nan,19.5,19.5,19.5
5,0.9363616717890615,2.811340945558446,0.0,0.43909358978271484,0.014004001393914223,0.0,nan,19.5,19.5,19.5
6,0.9366096483987002,3.7479505939571465,0.008879832923412323,0.4389621615409851,0.013595500960946083,0.0,nan,19.5,19.5,19.5
7,0.9362546161704121,4.684205210127558,0.01813318207859993,0.43896445631980896,0.014093616977334023,0.0,nan,19.5,19.5,19.5
8,0.9364852492475794,5.620690459375138,0.019435882568359375,0.43899551033973694,0.013785222545266151,0.0,nan,19.5,19.5,19.5
9,0.9362250238834393,6.556915483258577,0.022048186510801315,0.43909600377082825,0.014196434989571571,0.0,nan,19.5,19.5,19.5
10,0.9365157810172864,7.493431264275864,0.2778562307357788,0.43900376558303833,0.013746330514550209,0.0,nan,19.5,19.5,19.5
11,0.929910734165992,8.423341998441856,0.6729128360748291,0.4390221834182739,0.013201991096138954,1.0,nan,19.5,19.5,19.5
12,0.9356372099724555,9.358979208414311,0.738569974899292,0.4390837252140045,0.015013644471764565,0.0,nan,19.5,19.5,19.5
13,0.9360777408061993,10.29505694922051,0.701688289642334,0.4389764666557312,0.01434684731066227,0.0,nan,19.5,19.5,19.5
14,0.9293270074306499,11.224383956651161,0.8688282370567322,0.4389920234680176,0.014005133882164955,1.0,nan,19.5,19.5,19.5
15,0.9356775935384489,12.16006155018961,0.8128532767295837,0.4392991364002228,0.015057632699608803,0.0,nan,19.5,19.5,19.5
16,0.93646601823469,13.0965275684243,0.9490411281585693,0.43917959928512573,0.013898054137825966,0.0,nan,19.5,19.5,19.5
17,0.9377107704146987,14.034238338838998,1.2203528881072998,0.4389674961566925,0.012056419625878334,0.0,nan,19.5,19.5,19.5
18,0.9375683720800139,14.971806710919012,1.3038908243179321,0.43894723057746887,0.012246320024132729,0.0,nan,19.5,19.5,19.5
19,0.9314948070737578,15.90330151799277,1.4132378101348877,0.4389137923717499,0.010933706536889076,-1.0,nan,19.5,19.5,19.5
20,0.9322412630042859,16.835542780997056,1.4699900150299072,0.4386776089668274,0.009778449311852455,-1.0,nan,19.5,19.5,19.5
21,0.9322630144421543,17.76780579543921,1.4838426113128662,0.43871399760246277,0.009764978662133217,-1.0,nan,19.5,19.5,19.5
22,0.9332976857941775,18.701103481233385,1.3742163181304932,0.4387010931968689,0.008310416713356972,-1.0,nan,19.5,19.5,19.5
23,0.9341324286434267,19.635235909876812,1.621087908744812,0.43856915831565857,0.007080207113176584,-1.0,nan,19.5,19.5,19.5
24,0.9278015560623081,20.56303746593912,1.6770633459091187,0.4385431706905365,0.0061313011683523655,-2.0,nan,19.5,19.5,19.5
25,0.9278292892520272,21.49086675519115,1.7262269258499146,0.43840476870536804,0.006027887109667063,-2.0,nan,19.5,19.5,19.5
26,0.9284395428926108,22.41930629808376,1.781122088432312,0.43838563561439514,0.005164603237062693,-2.0,nan,19.5,19.5,19.5
27,0.9217796242891677,23.34108592237293,1.7750532627105713,0.4384220838546753,0.004705498460680246,-3.0,nan,19.5,19.5,19.5
28,0.9241840983659383,24.265270020738868,1.9231951236724854,0.4380505383014679,0.0011658468283712864,-3.0,nan,19.5,19.5,19.5
29,0.9237334432575319,25.1890034639964,1.8742262125015259,0.4380313754081726,0.0017878212966024876,-3.0,nan,19.5,19.5,19.5
30,0.9240386687093193,26.11304213270572,1.9651004076004028,0.4378764033317566,0.0012881853617727757,-3.0,nan,19.5,19.5,19.5
31,0.924728916040666,27.037771048746386,1.886938452720642,0.4379933476448059,0.00037641311064362526,-3.0,nan,19.5,19.5,19.5
32,0.9178343027292617,27.955605351475647,1.9852046966552734,0.4379739761352539,0.0002198317088186741,-4.0,nan,19.5,19.5,19.5
33,0.9175653053264887,28.873170656802134,2.0363800525665283,0.43781450390815735,-0.0005220077000558376,-4.0,nan,19.5,19.5,19.5
34,0.9169611938026334,29.79013185060477,2.0905072689056396,0.4377741515636444,-0.0013489327393472195,-4.0,nan,19.5,19.5,19.5
35,0.9176119984698792,30.70774384907465,2.1745381355285645,0.43797412514686584,-0.0005311272107064724,-4.0,nan,19.5,19.5,19.5
36,0.9179703061153137,31.625714155189964,2.2144627571105957,0.43791651725769043,-2.612825483083725e-06,-4.0,nan,19.5,19.5,19.5
37,0.9173931898189087,32.54310734500887,2.2849621772766113,0.4377700984477997,-0.000742246862500906,-4.0,nan,19.5,19.5,19.5
38,0.9173587851664494,33.46046613017532,2.2914721965789795,0.4377434551715851,-0.0007779798470437527,-4.0,nan,19.5,19.5,19.5
39,0.9237500982765285,34.38421622845185,2.280820608139038,0.43780317902565,-0.0016580126248300076,-3.0,nan,19.5,19.5,19.5
40,0.9238874205040434,35.30810364895589,2.20851731300354,0.4384196102619171,0.0017534294165670872,-3.0,nan,19.5,19.5,19.5
41,0.9163849576060616,36.224488606561955,2.2752749919891357,0.43844178318977356,0.0024672248400747776,-4.0,nan,19.5,19.5,19.5
