Steps,Reward,Accumulated reward,velocity,Throttle,Steer,deviation,Distance,Distance right front,Distance right,Distance right back
1,0.9137994060521679,0.9137994060521679,0.0,0.35484910011291504,0.0036520110443234444,3.0,nan,19.5,19.5,19.5
2,0.9137222505004278,1.8275216565525958,7.612238550791517e-05,0.3548259735107422,0.0037186266854405403,3.0,nan,19.5,19.5,19.5
3,0.9162330605052411,2.743754717057837,0.00018365865980740637,0.35665708780288696,0.0018024640157818794,3.0,nan,19.5,19.5,19.5
4,0.9163161009512841,3.660070818009121,0.000485887547256425,0.35660189390182495,0.0017120810225605965,3.0,nan,19.5,19.5,19.5
5,0.9137671386519712,4.573837956661093,0.00022356989211402833,0.35486167669296265,0.0036850618198513985,3.0,nan,19.5,19.5,19.5
6,0.9137483280647013,5.487586284725794,9.524348570266739e-05,0.3548833131790161,0.0037076668813824654,3.0,nan,19.5,19.5,19.5
7,0.9163056089372507,6.403891893663045,3.0174553103279322e-05,0.35658103227615356,0.0017170058563351631,3.0,nan,19.5,19.5,19.5
8,0.9137768504837793,7.317668744146824,0.00031587600824423134,0.35486364364624023,0.0036764563992619514,3.0,nan,19.5,19.5,19.5
9,0.9136436149440705,8.231312359090895,0.5095291137695312,0.35487186908721924,0.0038027288392186165,3.0,nan,19.5,19.5,19.5
10,0.9162288205926972,9.147541179683593,0.7498636245727539,0.3565869629383087,0.0017900587990880013,3.0,nan,19.5,19.5,19.5
11,0.9217053695113531,10.069246549194945,0.8195101022720337,0.3547320067882538,0.0027791233733296394,2.0,nan,19.5,19.5,19.5
12,0.9307182843562747,10.99996483355122,0.9037348031997681,0.3553254008293152,0.0010388614609837532,1.0,nan,19.5,19.5,19.5
13,0.9359880087498043,11.935952842301024,0.9419360756874084,0.3569082021713257,-0.003023105673491955,0.0,nan,19.5,19.5,19.5
14,0.9347349860705435,12.870687828371567,0.9670062065124512,0.3565814197063446,-0.004116344265639782,0.0,nan,19.5,19.5,19.5
15,0.9271664327973765,13.797854261168943,1.0417330265045166,0.3569589853286743,-0.004735092632472515,-1.0,nan,19.5,19.5,19.5
16,0.9183168320182178,14.71617109318716,1.0882765054702759,0.35692647099494934,-0.006453800015151501,-2.0,nan,19.5,19.5,19.5
17,0.9102142397543149,15.626385332941474,1.1064133644104004,0.35715919733047485,-0.0075371889397501945,-3.0,nan,19.5,19.5,19.5
