Steps,Reward,Accumulated reward,velocity,Throttle,Steer,deviation,Distance,Distance right front,Distance right,Distance right back
1,0.7980487662657552,0.7980487662657552,0.0,0.15442012250423431,-0.02563859149813652,3.0,8.179703906452145,0,0,0
2,0.8013671453109434,1.5994159115766986,0.0008390140137635171,0.15765281021595,-0.025221172720193863,3.0,8.248737569885956,0,0,0
3,0.8058770149540637,2.4052929265307625,0.00011349678243277594,0.16595804691314697,-0.025178033858537674,3.0,8.351115996640438,0,0,0
4,0.8110235700693834,3.216316496600146,0.000511760707013309,0.16747690737247467,-0.02468927577137947,3.0,8.46077181826149,0,0,0
5,0.8173786754954385,4.033695172095585,0.0007354163681156933,0.17387889325618744,-0.023771140724420547,3.0,8.591041410906685,0,0,0
6,0.8220602387848919,4.855755410880477,0.0003253841423429549,0.1797567754983902,-0.024483907967805862,3.0,8.709685588027012,0,0,0
7,0.8307130639528457,5.6864684748333225,0.0008327006944455206,0.19375745952129364,-0.02397230640053749,3.0,8.899111770359536,0,0,0
8,0.8399586206978293,6.526427095531152,0.0006702899700030684,0.20136691629886627,-0.02329379692673683,3.0,9.099361075978742,0,0,0
9,0.847939796067974,7.374366891599125,0.0008395671611651778,0.2133142203092575,-0.02285737171769142,3.0,9.274662632046613,0,0,0
10,0.8581281900089087,8.232495081608034,0.0005584859754890203,0.22316962480545044,-0.022228781133890152,3.0,9.497277504430407,0,0,0
11,0.8717501732005872,9.104245254808621,0.00045470238546840847,0.23667189478874207,-0.02159251645207405,3.0,9.79824912543504,0,0,0
12,0.8828752655375329,9.987120520346155,0.0004367637448012829,0.2564356327056885,-0.020139750093221664,3.0,10.028818315849271,0,0,0
13,0.8971572087071265,10.88427772905328,0.0007757949642837048,0.2707177400588989,-0.019241217523813248,3.0,10.34059281165372,0,0,0
14,0.9087160224330542,11.792993751486335,0.0010863112984225154,0.36324483156204224,-0.01686081662774086,3.0,10.56593058014721,0,0,0
15,0.9239023096249459,12.716896061111282,0.0010569858131930232,0.30484020709991455,-0.017072398215532303,3.0,10.916500109231947,0,0,0
16,0.9356695396988985,13.65256560081018,0.0005605602054856718,0.3248748183250427,-0.016154620796442032,3.0,11.170481246937143,0,0,0
17,0.9540214718679842,14.606587072678163,0.0006502866744995117,0.3406336307525635,-0.014548424631357193,3.0,11.563730371372003,0,0,0
