Steps,Reward,Accumulated reward,Throttle,Steer,deviation,velocity,Brake,Distance,Distance back-right
1,1,1,0.030150597915053368,-0.09593073278665543,3.0,0.0,-1.0,8.028340555433374,nan
2,1,2,0.030167413875460625,-0.09593992680311203,3.0,0.0016619490925222635,-1.0,8.02204620186186,nan
3,1,3,0.030169302597641945,-0.09594186395406723,3.0,0.0015604066429659724,-1.0,8.029760077731632,nan
4,1,4,0.03015127032995224,-0.09591633826494217,3.0,0.0005012035253457725,-1.0,8.050839140427684,nan
5,1,5,0.03035786561667919,-0.09613321721553802,3.0,0.0013279533013701439,-1.0,8.086603698586229,nan
6,1,6,0.03017916902899742,-0.09594573825597763,3.0,0.0004165744758211076,-1.0,8.116495499754993,nan
7,1,7,0.030369797721505165,-0.09614568948745728,3.0,0.0014211272355169058,-1.0,8.157558597315592,nan
8,1,8,0.03019770234823227,-0.09596524387598038,3.0,0.0013806438073515892,-1.0,8.179642939931982,nan
9,1,9,0.030199730768799782,-0.0959673747420311,3.0,8.774025445745792e-06,-1.0,8.221674793183706,nan
10,1,10,0.03021307662129402,-0.09598145633935928,3.0,0.0005654716514982283,-1.0,8.267038321789911,nan
11,1,11,0.030410801991820335,-0.09618847817182541,3.0,0.00022032263223081827,-1.0,8.32165993028112,nan
12,1,12,0.03042302280664444,-0.09620122611522675,3.0,9.97543702396797e-06,-1.0,8.381403260542125,nan
13,1,13,0.030260436236858368,-0.09603121131658554,3.0,0.00043723106500692666,-1.0,8.429411872955578,nan
14,1,14,0.030275024473667145,-0.09604649990797043,3.0,6.659507926087826e-05,-1.0,8.481645857308806,nan
15,1,15,0.03028254024684429,-0.09605439752340317,3.0,0.00011432647443143651,-1.0,8.602876023516137,nan
16,1,16,0.030299920588731766,-0.09607260674238205,3.0,0.0006194257875904441,-1.0,8.638949078393132,nan
17,1,17,0.03032037988305092,-0.09609401971101761,3.0,0.0003116798761766404,-1.0,8.725740818764423,nan
18,1,18,0.03034694865345955,-0.09612181037664413,3.0,0.00038477900670841336,-1.0,8.803192715598747,nan
19,1,19,0.030604740604758263,-0.09638979285955429,3.0,0.000345697597367689,-1.0,8.930974064114569,nan
20,1,20,0.030638128519058228,-0.09642428159713745,3.0,0.0,-1.0,9.00810837064889,nan
21,1,21,0.030417535454034805,-0.0961955115199089,3.0,0.0002978422271553427,-1.0,9.137052145182524,nan
22,1,22,0.030442578718066216,-0.09622158855199814,3.0,0.0008663511252962053,-1.0,9.255276132669586,nan
23,1,23,0.03073592483997345,-0.09652496129274368,3.0,0.0003212738083675504,-1.0,9.381629990669168,nan
24,1,24,0.018573813140392303,-0.07621928304433823,3.0,6.48025024929666e-06,-1.0,9.509747746373025,nan
25,1,25,0.03077489696443081,-0.09656500071287155,3.0,0.00011772633297368884,-1.0,9.630076138361346,nan
26,1,26,0.0305828507989645,-0.09636717289686203,3.0,0.0013879012549296021,-1.0,9.749800205433033,nan
27,1,27,0.02547629177570343,-0.08114337921142578,3.0,0.0006860160501673818,-1.0,9.890907255191346,nan
28,1,28,0.030644072219729424,-0.09643039852380753,3.0,0.0005506420275196433,-1.0,9.963899445896569,nan
29,1,29,0.025848526507616043,-0.08178166300058365,3.0,0.00011470318713691086,-1.0,10.116804350183314,nan
30,1,30,0.031016338616609573,-0.09681122750043869,3.0,2.2821426682639867e-05,-1.0,10.258715294471875,nan
31,1,31,0.030740493908524513,-0.09652968496084213,3.0,0.0005051040789112449,-1.0,10.428212984595218,nan
32,1,32,0.027336589992046356,-0.08686517924070358,3.0,0.00016108035924844444,-1.0,10.556649595183233,nan
33,1,33,0.02689323201775551,-0.08810979872941971,3.0,5.575180330197327e-05,-1.0,10.685774455093021,nan
34,1,34,0.026409171521663666,-0.08326079696416855,3.0,0.0009828233160078526,-1.0,10.926417709690277,nan
35,1,35,0.02660980448126793,-0.08373181521892548,3.0,0.0007168864831328392,-1.0,11.100957274717237,nan
36,1,36,0.030959350988268852,-0.09675333648920059,3.0,0.0004887391114607453,-1.0,11.30012071184364,nan
37,1,37,0.027585934847593307,-0.08542663604021072,3.0,0.0005360555369406939,-1.0,11.490251894245576,nan
38,1,38,0.02876247465610504,-0.08795305341482162,3.0,0.0003500556922517717,-1.0,11.671498922278012,nan
39,1,39,0.028871556743979454,-0.0882447138428688,3.0,0.0,-1.0,11.871697713988018,nan
40,1,40,0.031174924224615097,-0.09697145223617554,3.0,7.493495650123805e-05,-1.0,11.965188211188881,nan
41,1,41,0.028520453721284866,-0.0893755555152893,3.0,6.901752203702927e-05,-1.0,12.19014411094904,nan
42,1,42,0.026956120505928993,-0.0852503553032875,3.0,0.0010218429379165173,-1.0,12.37384884177634,nan
43,1,43,0.027151867747306824,-0.08567924052476883,3.0,0.0002878618543036282,-1.0,12.590294014293242,nan
44,1,44,0.03136051818728447,-0.09715739637613297,3.0,0.0008573054801672697,-1.0,12.834194942438232,nan
45,1,45,0.02970946952700615,-0.08927828818559647,3.0,0.0008964252192527056,-1.0,12.941300476622121,nan
