Episode,Reward,Num_steps,Index_loc
1,105.7890625,156,0
2,30.93359375,68,3
3,223.15234375,313,2
4,49.390625,88,0
5,143.765625,195,0
6,26.875,72,1
7,38.953125,92,3
8,177.8046875,252,2
9,290.65625,382,2
10,63.359375,107,0
11,111.79296875,155,2
12,24.0703125,61,3
13,16.1484375,56,1
14,19.65625,60,3
15,113.79296875,186,0
16,36.8125,87,1
17,164.44140625,213,2
18,225.71484375,294,0
19,51.8671875,95,3
20,28.59375,69,2
21,79.7109375,146,0
22,28.5859375,67,2
23,19.89453125,60,3
24,190.3515625,262,2
25,55.765625,105,3
26,37.4453125,74,0
27,18.9453125,57,1
28,70.13671875,115,2
29,29.9140625,68,0
30,78.38671875,130,0
31,6.90234375,38,1
32,206.140625,366,2
33,32.44140625,67,3
34,3.41796875,32,1
35,108.08203125,175,0
36,82.34765625,134,2
37,36.65234375,85,1
38,57.515625,101,3
39,111.46484375,168,2
40,82.1484375,145,2
41,63.76953125,113,0
42,39.3359375,84,0
43,48.3203125,83,1
44,40.78515625,93,0
45,55.78125,100,2
46,123.3984375,185,2
47,19.3828125,60,1
48,122.546875,179,3
49,33.5546875,81,3
50,26.4609375,70,1
51,21.609375,59,1
52,19.7109375,63,1
53,48.3359375,94,0
54,10.6171875,45,1
55,24.2578125,61,1
56,18.46875,53,0
57,335.59375,421,2
58,48.6171875,93,2
59,60.65625,104,2
60,37.0859375,80,3
61,58.2109375,111,3
62,20.64453125,56,2
63,14.8828125,52,1
64,12.859375,48,3
65,19.6875,55,0
66,24.5390625,67,1
67,73.70703125,113,3
68,31.41796875,72,3
69,81.375,133,0
70,24.046875,69,3
71,26.8671875,66,1
72,128.4921875,199,0
73,28.60546875,67,3
74,70.9140625,114,3
75,6.17578125,38,3
76,77.90234375,156,0
77,43.88671875,92,3
78,49.9453125,93,3
79,47.35546875,99,2
80,31.1953125,72,3
81,113.33984375,184,0
82,21.0390625,64,1
83,179.80078125,272,2
84,96.484375,130,3
85,69.52734375,109,3
86,34.578125,80,1
87,51.4375,99,0
88,48.5078125,95,0
89,103.44140625,152,0
90,80.625,154,2
91,84.08203125,151,2
92,6.515625,39,1
93,87.98046875,151,2
94,29.64453125,69,3
95,51.62890625,99,2
96,82.53125,151,2
97,55.47265625,97,3
98,34.8046875,76,3
99,37.77734375,79,3
100,85.16015625,157,2
101,55.69921875,96,3
102,91.9765625,129,3
103,19.47265625,57,3
104,9.7109375,43,1
105,50.84765625,87,3
106,26.2265625,64,3
107,68.81640625,129,2
108,44.33984375,97,3
109,73.37890625,133,2
110,81.96484375,131,2
111,21.7421875,67,1
112,50.80859375,96,3
113,135.44140625,204,2
114,84.1953125,149,2
115,34.49609375,76,3
116,18.23046875,58,3
117,24.125,68,1
118,54.05078125,102,2
119,79.12109375,123,0
120,47.2421875,88,3
121,28.55078125,64,0
122,2.3671875,31,1
123,77.25,141,0
124,67.2109375,112,0
125,38.80859375,81,2
126,127.90625,183,2
127,74.78125,113,3
128,17.72265625,46,0
129,48.51953125,86,1
130,40.21484375,80,1
131,110.390625,166,2
132,61.08984375,95,0
133,24.1640625,59,3
134,13.7421875,49,3
135,50.95703125,101,0
136,40.5625,79,3
137,14.484375,48,1
138,97.44921875,144,0
139,86.296875,149,2
140,123.546875,180,2
141,26.05078125,68,1
142,17.046875,57,1
143,72.02734375,127,2
144,15.5625,49,1
145,43.36328125,91,0
146,49.921875,99,0
147,73.22265625,116,0
148,127.17578125,186,0
149,68.05859375,115,3
150,64.46484375,101,3
151,54.22265625,106,0
152,98.2734375,152,0
153,8.98046875,40,1
154,146.71875,225,0
155,18.453125,56,1
156,101.046875,159,2
157,38.55078125,86,3
158,22.671875,58,3
159,20.47265625,55,0
160,37.5859375,82,1
161,29.2578125,79,1
162,69.359375,111,3
163,76.3671875,126,3
164,17.17578125,57,3
165,86.296875,121,3
166,125.421875,229,2
167,37.41015625,81,3
168,46.98828125,92,0
169,172.85546875,239,2
170,58.03125,109,2
171,136.85546875,216,2
172,81.15234375,146,2
173,24.0390625,61,0
174,50.1015625,106,0
175,38.80859375,80,2
176,75.80859375,124,2
177,123.78515625,188,2
178,61.5234375,110,3
179,24.03125,61,3
180,114.234375,179,3
181,81.77734375,129,2
182,120.0703125,179,0
183,129.00390625,180,0
184,33.84765625,73,1
185,9.44921875,44,1
186,63.28515625,104,0
187,13.921875,54,1
188,43.23046875,95,2
189,273.6171875,391,2
190,50.05078125,85,0
191,127.91796875,186,0
192,51.96484375,90,1
193,70.8671875,122,3
194,137.53515625,180,2
195,12.640625,43,0
196,22.55078125,69,1
197,126.02734375,197,0
198,59.4375,115,3
199,10.46875,42,1
200,40.83984375,84,3
201,32.95703125,75,3
202,20.08203125,56,0
203,10.32421875,43,1
204,60.5078125,114,0
205,64.125,109,2
206,135.6484375,186,0
207,45.3125,90,1
208,32.53125,70,1
209,17.5625,57,1
210,25.89453125,63,2
211,14.8203125,51,1
212,27.92578125,65,3
213,14.99609375,51,1
214,27.2890625,69,1
215,19.56640625,59,1
216,58.25390625,105,3
217,34.06640625,76,1
218,45.68359375,101,2
219,21.5,62,1
220,45.72265625,84,0
221,12.859375,48,3
222,14.234375,50,1
223,115.16796875,173,2
