Episode,Reward,Num_steps,Finish,Deviation,Exploration_rate,Distance,Mean veal
1,95.71163117040669,2623,False,-115.0,-1.0,10,0.8834324785800651
2,-2.7008282344617953,343,False,-144.0,-1.0,10,1.2133545782456412
3,-4.6932117650764305,392,False,-144.0,-1.0,10,1.0644777867722097
4,29.389946263897528,822,False,126.0,-1.0,10,0.9095339197956879
5,51.27816109281595,1067,False,-127.0,-1.0,10,1.210484874783906
6,-5.823153809215352,358,False,-155.0,-1.0,10,1.2936240866082642
7,-16.374449946441818,189,False,-147.0,-1.0,10,1.5434087757609087
8,128.47790824521996,1790,False,141.0,-1.0,10,1.1099941771076998
9,12.956170667472726,859,False,137.0,-1.0,10,1.3088063844659867
10,-10.261462300015356,321,False,132.0,-1.0,10,1.0885421173230707
11,10.375408305464113,483,False,137.0,-1.0,10,1.4973004294029906
12,0.09643410351450399,379,False,138.0,-1.0,10,1.822053005770807
13,-25.127515284968275,147,False,141.0,-1.0,10,1.5511701321514437
14,-2.1760784347930553,402,False,139.0,-1.0,10,1.6026323548955443
15,-8.478199213809198,336,False,126.0,-1.0,10,1.8997569572486446
16,-2.6252244807822436,434,False,121.0,-1.0,10,1.4346585188111025
17,-18.708442431752164,158,False,-146.0,-1.0,10,1.7336016510548602
18,-12.29541233925097,301,False,139.0,-1.0,10,1.520954497031017
19,-4.217197073299971,455,False,131.0,-1.0,10,2.14397260208421
20,-16.656361867121298,163,False,144.0,-1.0,10,1.9414978527690376
21,-0.1359667194421803,759,False,140.0,-1.0,10,2.766238236782236
22,-18.70392120193583,223,False,131.0,-1.0,10,1.6955563057085599
23,-7.633964312512951,395,False,119.0,-1.0,10,2.0637454804954047
24,-3.422044982548247,442,False,135.0,-1.0,10,2.4123446703008775
25,-15.46334534049885,185,False,156.0,-1.0,10,2.6394408017296245
26,-27.773832704586642,73,False,154.0,-1.0,10,2.3278523493822894
27,-22.34715202876499,136,False,145.0,-1.0,10,2.5468739895886223
28,-21.114103618979446,128,False,143.0,-1.0,10,2.7156650979068218
29,-29.563763431646993,70,False,153.0,-1.0,10,2.6636184005066754
30,-15.706774959453512,197,False,139.0,-1.0,10,2.259722505624171
31,-25.249460695104943,150,False,124.0,-1.0,10,2.477070771708774
32,-27.135921687637055,97,False,151.0,-1.0,10,3.3822097676354894
33,-20.38686183845146,159,False,152.0,-1.0,10,2.9986569681257937
34,-28.49601632678509,83,False,145.0,-1.0,10,2.2305675608173283
35,-29.306604304424354,79,False,139.0,-1.0,10,3.60554315449222
36,-17.747401978918493,170,False,134.0,-1.0,10,4.966130210185314
37,-22.527406390594585,123,False,138.0,-1.0,10,3.324395300046024
38,-20.014424059484682,173,False,135.0,-1.0,10,2.2501547526919103
39,-19.599508526942564,300,False,-121.0,-1.0,10,2.2745000434457325
40,-25.83161252213376,108,False,139.0,-1.0,10,4.101847056139916
41,-27.905874178392544,106,False,138.0,-1.0,10,2.5223206281222685
42,-17.460191880924377,201,False,-142.0,-1.0,10,4.642872897231609
43,-14.557235791793904,255,False,123.0,-1.0,10,3.4536535614224917
44,-20.613204401361088,160,False,150.0,-1.0,10,2.020153314645904
45,-24.72788555226156,162,False,138.0,-1.0,10,1.6639011351702113
46,-19.3290596377509,160,False,149.0,-1.0,10,1.7409875910869232
47,-22.351390868774477,123,False,128.0,-1.0,10,2.4400244832655975
48,-12.109884753291094,195,False,148.0,-1.0,10,1.8522238555447892
49,-16.203092750132093,244,False,136.0,-1.0,10,1.23454246091748
50,-10.801213850063924,290,False,122.0,-1.0,10,4.309060475551362
51,-22.42182956454584,147,False,137.0,-1.0,10,2.665442992085124
52,-27.180687920314924,108,False,134.0,-1.0,10,3.0022904839349427
53,-18.566698846714836,205,False,129.0,-1.0,10,1.8785662346587675
