Episode,Reward,Num_steps,Finish,Deviation,Exploration_rate
1,1257.2332264548118,2190,False,181.0,-1.0
2,481.81541984064484,946,False,137.0,-1.0
3,103.94848508561012,409,False,145.0,-1.0
4,110.14609482332344,375,False,169.0,-1.0
5,93.19009950616963,270,False,166.0,-1.0
6,26.650146796815562,89,False,92.0,-1.0
7,54.55332041577206,270,False,136.0,-1.0
8,54.142891131608295,161,False,150.0,-1.0
9,71.06804099431776,204,False,155.0,-1.0
10,80.52070669388236,290,False,169.0,-1.0
11,167.59637010675436,640,False,125.0,-1.0
12,93.67766759676776,402,False,119.0,-1.0
13,34.4855288814667,117,False,81.0,-1.0
14,123.00957103398258,280,False,-148.0,-1.0
15,171.01160489346404,419,False,159.0,-1.0
16,82.1905862316787,214,False,143.0,-1.0
17,82.53714004153765,212,False,146.0,-1.0
18,82.48745807008446,178,False,-108.0,-1.0
19,126.48540556066015,236,False,-151.0,-1.0
20,78.96859999950236,247,False,-101.0,-1.0
21,94.24000385113571,188,False,-109.0,-1.0
22,36.047312875861294,116,False,-106.0,-1.0
23,39.78446161889842,128,False,-121.0,-1.0
24,56.36132559433953,140,False,-111.0,-1.0
25,35.382726822396734,134,False,-142.0,-1.0
26,26.74810748830251,87,False,-111.0,-1.0
27,60.366916926691786,132,False,-79.0,-1.0
28,31.59773609046637,117,False,-100.0,-1.0
29,38.574659938936136,116,False,-125.0,-1.0
30,62.61653077849979,153,False,-117.0,-1.0
31,114.90825537686055,236,False,181.0,-1.0
32,100.21421712247847,205,False,-103.0,-1.0
33,68.90922951406613,156,False,-126.0,-1.0
34,33.91592573751135,91,False,-53.0,-1.0
35,50.60329893467808,120,False,-121.0,-1.0
36,67.70517943637356,179,False,-109.0,-1.0
37,173.8450042779507,289,False,-91.0,-1.0
38,79.56123817081748,199,False,-133.0,-1.0
39,193.1480628436853,431,False,141.0,-1.0
40,81.92572764465028,217,False,132.0,-1.0
41,218.7673950956847,385,False,160.0,-1.0
42,85.99886128807665,265,False,148.0,-1.0
43,68.82281480265456,227,False,175.0,-1.0
