Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser,Truncated
1,246.89843835020542,638,False,123.0,0.9999004687499999,19.5,0.9781450565151146,0.0,False
2,138.8806590142293,523,False,121.0,0.9998187500000001,19.5,0.9504094984752227,0.0,False
3,107.92199183322691,335,False,-139.0,0.99976640625,19.5,0.9447497033754731,0.0,False
4,666.3535138329113,1406,False,120.0,0.99954671875,19.5,0.923039899536736,0.0,False
5,569.7557318784823,1062,False,127.0,0.9993807812500001,19.5,1.0029751071739026,0.0,False
6,120.1214270312089,397,False,-139.0,0.99931875,19.5,1.0459185095236494,0.0,False
7,95.70543137149303,361,False,-137.0,0.99926234375,19.5,0.9291255268286991,0.0,False
8,386.3803362224944,898,False,-119.0,0.99912203125,19.5,1.022904870173306,0.0,False
9,799.1470825198227,1898,False,133.0,0.99882546875,19.5,1.0960822657981197,0.0,False
10,185.76202946365467,450,False,-138.0,0.99875515625,19.5,0.9780321110430588,0.0,False
11,657.0966446109773,1462,False,119.0,0.99852671875,19.5,0.9885893148339152,0.0,False
12,294.90732192425946,1065,False,-125.0,0.9983603125,19.5,0.993354492325351,0.0,False
13,750.7606213044793,1314,False,123.0,0.9981549999999999,19.5,1.0442469371307974,0.0,False
14,1443.0962831165298,2761,False,-125.0,0.99772359375,19.5,1.0252390857417952,0.0,False
15,126.16870647850718,440,False,-132.0,0.99765484375,19.5,0.9516501891732994,0.0,False
16,213.24199050980494,702,False,120.0,0.9975451562500001,19.5,1.0153635976805986,0.0,False
17,368.0332769282496,1068,False,121.0,0.99737828125,19.5,1.0392557117141423,0.0,False
18,107.72794889261499,358,False,-140.0,0.9973223437500001,19.5,0.9249446385445115,0.0,False
19,285.0085561403907,739,False,123.0,0.9972068749999999,19.5,0.9542742170692697,0.0,False
20,94.56860963034514,354,False,-136.0,0.9971515625,19.5,1.0460736883728072,0.0,False
21,83.6229833010696,321,False,-140.0,0.9971014062499999,19.5,0.915859455535514,0.0,False
22,1209.8848148338554,3148,False,-129.0,0.9966095312500001,19.5,1.0351174296892764,0.0,False
23,169.79041491521656,467,False,-136.0,0.9965365625,19.5,0.9563534333269292,0.0,False
24,1073.948321271328,2025,False,124.0,0.9962201562499999,19.5,1.0439544636903786,0.0,False
25,406.9913130097169,883,False,118.0,0.9960821875,19.5,1.0323008775017182,0.0,False
26,113.4674871234705,428,False,-132.0,0.9960153125,19.5,1.0192014726489336,0.0,False
27,214.48427789814244,578,False,-135.0,0.995925,19.5,0.9313260275173882,0.0,False
28,226.05492413054918,629,False,125.0,0.99582671875,19.5,0.9964097235784888,0.0,False
29,64.88520271451411,281,False,-141.0,0.9957828125000001,19.5,0.9896253117228017,0.0,False
30,320.67564298602923,672,False,125.0,0.9956778125,19.5,1.0385151885859505,0.0,False
31,121.99624656464567,396,False,-142.0,0.9956159375,19.5,0.8610805099245162,0.0,False
