Episode,Reward,Num_steps,Finish,Deviation,Exploration_rate,Distance,Mean veal
1,-43.55688735360907,49,False,-14.0,-1.0,3.8853089162498926,1.1537879116795198
2,-53.316656543925134,40,False,-19.0,-1.0,3.9869063423035707,0.8303815824561752
3,176.4345678726616,362,False,-12.0,-1.0,3.8047070503736173,7.365991366410999
4,52.73573694822139,239,False,-24.0,-1.0,3.96831035614131,5.033629987632396
5,233.24497676668017,390,False,-41.0,-1.0,3.8323034587253746,7.679389758836717
6,86.6422249505516,257,False,-2.0,-1.0,3.9612889289855957,5.412952016533537
7,173.27740370560562,349,False,0.0,-1.0,3.7737109661607726,6.997603891570826
8,122.98861522605208,289,False,-31.0,-1.0,3.9817855658827104,6.0298507429230765
9,162.08324790687732,325,False,-6.0,-1.0,3.9352974036442316,6.667742383081753
10,64.57994700027798,242,False,-29.0,-1.0,3.9260518014424117,5.018928448115437
11,271.75757640447813,468,False,8.0,-1.0,3.8229636399086044,7.9211655970857855
12,251.0876334049252,458,False,-19.0,-1.0,3.8507080886225076,7.8780108867813
13,79.87448904968042,253,False,-20.0,-1.0,3.816838059014887,5.2161100837899
14,151.29170692137836,304,False,-17.0,-1.0,3.951767549092167,6.3407687404603505
15,138.78397019654568,328,False,-5.0,-1.0,3.8941404819978325,6.849990551920732
16,65.26399757432038,240,False,-22.0,-1.0,3.8554296493538,4.8345631878687225
17,140.09462712264053,310,False,-1.0,-1.0,3.72644855539532,7.295946028142146
18,-52.124129136397016,53,False,-26.0,-1.0,3.9659804481426746,1.1321442681276854
19,77.19270640121951,250,False,-7.0,-1.0,3.857382774402474,5.563492212077603
20,54.52874083884237,231,False,-32.0,-1.0,3.9000050210691373,5.319201238223581
21,200.94897064207288,390,False,-7.0,-1.0,3.8826469209021397,8.075349308097831
22,-47.17195044111781,70,False,-33.0,-1.0,3.959893691313474,1.6290374521565225
23,149.63941890584232,316,False,1.0,-1.0,3.997722074609636,6.691798252088925
24,132.0443291410367,306,False,-29.0,-1.0,3.922509670258328,6.36867123245706
25,205.92456081648652,369,False,2.0,-1.0,3.8231723905081147,7.890272171577302
26,46.982274243652114,221,False,-8.0,-1.0,3.9403319358825684,5.033911516162992
27,36.53658695921695,232,False,-34.0,-1.0,3.942695140838623,5.151679016469078
28,104.30166953107917,279,False,-38.0,-1.0,3.9289951843993176,6.187063998093755
29,252.51843008391927,425,False,-14.0,-1.0,3.8412420799259026,8.563482609005534
30,129.6275849723917,319,False,-14.0,-1.0,3.91691398625475,6.683425660996893
31,87.61567430766746,265,False,-5.0,-1.0,3.949930831393487,5.594083428690386
32,418.2264886666456,599,False,-22.0,-1.0,3.8216002255392114,9.695932827775641
33,212.11463887629606,380,False,-14.0,-1.0,3.811743309855879,7.170056122356389
34,353.4331800253423,647,False,-37.0,-1.0,3.9098655692372235,8.512180607784625
35,118.4212998089628,308,False,-28.0,-1.0,3.9989800652137313,5.895033000628222
36,217.77174885171172,387,False,-52.0,-1.0,3.72145033128494,7.43091047840501
37,125.93814725146672,311,False,-3.0,-1.0,3.7972353560018446,6.172650279827607
38,77.01195809099809,266,False,-37.0,-1.0,3.970767842953195,5.2059673889351075
39,-36.19957586614327,97,False,-40.0,-1.0,3.921572208405301,2.5834204657771385
40,257.1350604376154,556,False,-43.0,-1.0,3.929023266615345,6.04043024971247
41,164.67058294097805,327,False,-61.0,-1.0,3.9377047356301964,6.557647825037884
42,181.30629456238867,392,False,-43.0,-1.0,3.951640606119583,7.1497938121391025
43,193.8864404027966,388,False,-9.0,-1.0,3.8616555384076383,6.609763941869197
44,324.49502342411034,502,False,-48.0,-1.0,3.7608173113007752,8.067629248031833
45,181.1557322780093,347,False,-8.0,-1.0,3.8338256465610554,6.363354064506728
46,219.727284408537,378,False,-58.0,-1.0,3.699042797088623,6.72930100802135
47,181.58096053350167,353,False,-39.0,-1.0,3.968920957368753,6.18581579553185
48,27.00000623812126,222,False,-12.0,-1.0,3.9199023247251716,3.7267625988041564
49,312.42096869004064,549,False,-7.0,-1.0,3.862558603286743,6.785869676856415
50,372.1580743783614,633,False,-38.0,-1.0,3.9376170637160954,6.515542654172734
51,176.18227915756398,337,False,-60.0,-1.0,3.953417778208119,6.541778848731741
52,85.3544065860531,264,False,-4.0,-1.0,3.911074161529541,4.764756015260266
53,255.74319944164665,422,False,-51.0,-1.0,3.7661521434783936,7.852082566317321
54,73.46062311667461,245,False,-46.0,-1.0,3.911952972607137,4.849845986370453
55,415.7643351348887,649,False,-23.0,-1.0,3.491874933242798,9.423330377804572
56,125.29134061704946,315,False,-10.0,-1.0,3.985566377687627,5.78703790022622
57,201.6561388007176,400,False,-2.0,-1.0,3.909296751022339,7.177828332328936
58,198.63920388709096,363,False,-41.0,-1.0,3.7470312118530273,7.733085519867659
59,120.6532596108926,300,False,-15.0,-1.0,3.8078320026898607,6.432812171901266
60,195.04349102299037,357,False,-52.0,-1.0,3.9355367442962375,7.8682114983901
61,-46.06908067976187,85,False,-48.0,-1.0,3.9914794901289223,1.8917654662393033
62,-29.345329372500842,120,False,-48.0,-1.0,3.9212303161621094,2.8609043492004274
63,124.2223071992922,300,False,-45.0,-1.0,3.9730138329375344,6.518539874233927
64,116.849602496638,285,False,-39.0,-1.0,3.84959339427778,6.420117548429979
65,-55.02902179627607,36,False,-20.0,-1.0,3.9569369896226947,0.7505858854985692
66,54.49165885637122,221,False,-15.0,-1.0,3.914003849029541,5.018189833035937
67,154.7571907005311,331,False,-4.0,-1.0,3.9847222440570467,7.511095789815454
68,211.578419806642,411,False,0.0,-1.0,3.730950597292153,9.094795834022708
69,53.03388467493531,223,False,-14.0,-1.0,3.9800828472380383,5.3106137222773295
70,130.17054904956439,305,False,6.0,-1.0,3.8374203737691817,7.360805103422494
71,8.364168883598296,237,False,-48.0,-1.0,3.972814748940631,4.330304540882382
