Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel
1,141.1542220477286,331,False,-1.0,-1.0,3.8146199196361628,6.959092390505467
2,51.29895406732132,224,False,1.0,-1.0,3.923954963686408,5.372310324166652
3,132.77763243787734,352,False,3.0,-1.0,3.9693553448203907,7.384334941696249
4,50.74811840935061,222,False,0.0,-1.0,3.854316234589396,5.044938910018384
5,253.111545194759,380,False,-4.0,-1.0,3.817831993105418,7.658719706932377
6,201.05190301743446,329,False,2.0,-1.0,3.955605268478817,7.0221789996493555
7,121.24209483818441,293,False,-7.0,-1.0,3.8805678372100076,6.641762023025634
8,111.29378355400289,308,False,-3.0,-1.0,3.888617892782293,7.46198767527194
9,77.61229289679176,256,False,4.0,-1.0,3.9056352096260323,6.33303902310945
10,48.12547549306787,231,False,2.0,-1.0,3.8451252590585483,5.9950479440616835
11,28.6684362826646,195,False,5.0,-1.0,3.8436603160479166,5.117415320075667
12,211.58040685617783,348,False,0.0,-1.0,3.7518162729389477,7.683398397810672
13,176.32817692654083,311,False,1.0,-1.0,3.9986131198885704,7.032430574305391
14,223.57574468560392,364,False,2.0,-1.0,3.8929686546325684,8.001461037728873
15,242.52137403335922,380,False,4.0,-1.0,3.7663085460675205,8.131458908949341
16,119.79884033716252,339,False,9.0,-1.0,3.969355344964546,7.932956524237243
17,80.81499560458016,236,False,4.0,-1.0,3.9227288959934477,5.546586804182695
18,58.76366496200875,235,False,5.0,-1.0,3.8637695312500484,6.119650128574923
19,85.42116855855338,219,False,6.0,-1.0,3.816454887391357,5.583589291731618
20,23.608656927810557,192,False,4.0,-1.0,3.9997265339374573,5.0719203648235025
21,92.74634954911463,282,False,5.0,-1.0,3.9737956894455686,7.143485185455742
22,18.996918028390553,182,False,5.0,-1.0,3.8837499618530753,5.140251154448468
23,212.16471477081853,355,False,4.0,-1.0,3.844531060058929,7.905293030314095
24,117.60403987421611,320,False,9.0,-1.0,3.8524413108825684,7.454096368294268
25,177.12944224476806,303,False,10.0,-1.0,3.883730411529541,7.112915071356033
26,23.913875082419707,198,False,6.0,-1.0,3.817695140838623,5.552986374743415
27,97.53987770348292,235,False,5.0,-1.0,3.7918846607208745,6.1383059798819115
28,60.286642815105395,204,False,3.0,-1.0,3.8439257145424177,5.571385102864702
29,174.17580985032035,308,False,3.0,-1.0,3.745214700700096,8.128761176458354
30,70.35027809588294,212,False,2.0,-1.0,3.822565508635836,5.856602160587362
31,133.9632648807431,276,False,2.0,-1.0,3.9567577838897705,7.106862068317993
32,173.26495201553954,346,False,4.0,-1.0,3.90935540199356,7.588131468296266
33,188.15420223616493,317,False,5.0,-1.0,3.8617382049560547,6.920789421142346
34,215.28715684692122,442,False,6.0,-1.0,3.9759373664855957,8.47924863862725
35,174.95940058769142,318,False,0.0,-1.0,3.85783195574711,6.188018839507592
36,302.6164564037627,439,False,6.0,-1.0,3.923808574677273,8.513779359759344
37,67.95652006729492,249,False,9.0,-1.0,3.9152896098565684,5.348447343811437
38,146.0208482132403,337,False,-1.0,-1.0,3.963222503854614,6.099297929104716
