Episode,Reward,Num_steps,Finish,Deviation,Exploration_rate,Distance
1,-4.433456363101008,58,False,-2.0,0.9999909375,3.4845845695464837
2,-9.00738827427243,52,False,-1.0,0.9999826562499999,3.4799265740713836
3,-11.393896120050059,49,False,-2.0,0.99997484375,3.483975193341517
4,-11.577799149364076,49,False,-2.0,0.99996703125,3.48599971678803
5,-9.118885187202288,52,False,-2.0,0.99995875,3.477972321478758
6,-13.940681599526812,46,False,-4.0,0.99995140625,3.4629657029956644
7,-9.161616886411629,52,False,-4.0,0.9999431249999999,3.485497633960346
8,-10.802999845593227,50,False,-3.0,0.99993515625,3.4923189128301217
9,-11.468570820954163,49,False,0.0,0.99992734375,3.4650877278339394
10,-9.83634466099506,51,False,-3.0,0.9999192187499999,3.4929519657877344
11,-3.6479727543084906,59,False,-2.0,0.99990984375,3.4973340034484863
12,-11.489564626951235,49,False,-2.0,0.99990203125,3.4886215534407494
13,-11.068862710996363,50,False,4.0,0.9998940625,3.495749070340316
14,-7.517545630450513,54,False,-4.0,0.99988546875,3.4757217758552095
15,-11.499376032379232,49,False,0.0,0.99987765625,3.4577919083575015
16,-9.875705415715466,51,False,-1.0,0.9998695312499999,3.4935643674841703
17,-9.99282956461608,51,False,-3.0,0.9998614062500001,3.4798353713619194
18,-8.242098001598144,53,False,0.0,0.99985296875,3.4840822083284357
19,-12.13771757674597,48,False,-3.0,0.9998453125,3.460124024160477
20,-4.324765018602449,58,False,-2.0,0.9998360937499999,3.4708722880874725
21,-10.691125275456727,50,False,1.0,0.999828125,3.486126470167596
22,-14.59522256283119,45,False,-1.0,0.9998209375,3.486016977118224
23,-12.878991977066264,47,False,-1.0,0.9998134375000001,3.4923827650347423
24,-9.855997515298725,51,False,-2.0,0.9998053124999999,3.478609418575693
25,-10.909712684071849,50,False,-2.0,0.99979734375,3.496750766761863
26,-10.054567658292044,51,False,0.0,0.9997892187499999,3.4723807613168955
27,-10.791722137617093,50,False,0.0,0.99978125,3.4752834902329512
28,-12.327558937848238,48,False,-3.0,0.99977359375,3.472329223157535
