Episode,Reward,Num_steps,Finish,Deviation,Exploration_rate,Distance
1,-15.703791863728433,44,False,1.0,0.999993125,3.988456964492798
2,-20.995524552503678,37,False,0.0,0.9999871875,3.9780358013873345
3,-18.757583884091776,40,False,-1.0,0.9999807812499999,3.9852413192676583
4,-20.38102821012275,38,False,2.0,0.9999746875,3.9783872535857934
5,-20.363777626587858,38,False,1.0,0.99996859375,3.9798857809694925
6,-20.383072588871148,38,False,1.0,0.9999625000000001,3.9949035034033527
7,-21.138168824852286,37,False,1.0,0.9999565625,3.9701916558512447
8,-24.99668755350168,32,False,0.0,0.99995140625,3.9829702532249067
9,-20.247678921788303,38,False,-2.0,0.9999453125,3.9643736266061325
10,-21.983935550473937,36,False,3.0,0.99993953125,3.993935571053123
11,-16.537324805113947,43,False,3.0,0.99993265625,3.9662158869114297
