Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser,Truncated
1,-29.6489798371448,71,False,-4.0,1.0,3.1059343221761275,4.356693090792273,0,False
2,-20.143390537011513,89,False,-23.0,1.0,3.073532862632532,4.340112796074219,0,False
3,-26.8506362513632,73,False,-1.0,1.0,3.3062303036959464,4.2639418706961285,0,False
4,-18.59580656212256,86,False,-9.0,1.0,3.09493804695489,4.139452570009717,0,False
5,-25.173427254449898,63,False,-7.0,1.0,3.206667756841809,3.7056698395560184,0,False
6,-21.788338238534386,74,False,-15.0,1.0,3.0767141059930045,4.036550233341955,0,False
7,-29.30912764599303,64,False,-3.0,1.0,3.1043541487543975,3.8762352449120954,0,False
8,-29.63793341183375,58,False,-5.0,1.0,3.0709005194401904,3.9742448692820194,0,False
9,-12.958465047451405,125,False,-1.0,1.0,3.0957916131440415,4.2993263672888276,0,False
10,-27.005602827976006,77,False,1.0,1.0,3.2447802793191927,4.066722442722552,0,False
11,-17.23640136528175,80,False,-3.0,1.0,3.081088883592131,4.017844857089221,0,False
12,-19.808623867080875,81,False,-8.0,1.0,3.070515520262527,4.169484472937054,0,False
13,-18.370318079947225,69,False,1.0,1.0,3.1284533036668796,3.8497963606015495,0,False
14,-17.900428323911058,81,False,-6.0,1.0,3.0939322117777546,4.223077580056809,0,False
15,-26.951636054023794,70,False,-6.0,1.0,3.1078963593821194,4.191957133316568,0,False
16,-24.34785955668177,58,False,-14.0,1.0,3.123827066017116,3.834725654394976,0,False
17,-20.79660793807531,78,False,8.0,1.0,3.044599834673494,4.172752057417081,0,False
18,-24.67724107971179,55,False,-4.0,1.0,3.123094459506211,3.8175488318231974,0,False
19,-22.2487648987655,84,False,-7.0,1.0,3.0766550178216625,4.134664769461822,0,False
20,-35.24207342357555,54,False,-7.0,1.0,3.1367759087634046,4.156603294459206,0,False
21,-25.016466257759994,83,False,-8.0,1.0,3.3341276572101353,4.690019353954907,0,False
22,-22.49846998473634,62,False,3.0,1.0,3.10973873594723,3.835453090858796,0,False
23,-26.003848955750634,56,False,-4.0,1.0,3.106105275257722,3.822642853683127,0,False
24,-22.08551137975997,60,False,-5.0,1.0,3.111561449751256,3.8428171151938537,0,False
25,-22.05569449189396,63,False,-6.0,1.0,3.2021063052700263,3.867261520512993,0,False
26,-24.696605650979045,76,False,-6.0,1.0,3.279023181986114,4.107307822394528,0,False
27,-25.75025336963423,54,False,-3.0,1.0,3.0940760590177394,3.705034549244576,0,False
28,-24.39421065371001,59,False,0.0,1.0,3.12261335259122,4.194095334985246,0,False
29,-24.43287452773496,70,False,-6.0,1.0,3.0962425118653294,4.079482099330718,0,False
30,-31.70674019262346,64,False,-4.0,1.0,3.351299213572515,4.0150912796962075,0,False
31,-25.124098692410655,52,False,6.0,1.0,3.083459712032592,3.742867305301703,0,False
32,-28.739047181809454,62,False,-14.0,1.0,3.0964083027326157,4.313446697568701,0,False
33,-28.998355918186792,62,False,-2.0,1.0,3.1177644536532227,4.053058748764377,0,False
34,-27.637700656594625,78,False,-14.0,1.0,3.0713497031107027,4.187122085155585,0,False
35,-12.463963105654507,105,False,-13.0,1.0,3.081019008031126,4.297490121530635,0,False
36,-31.486158492971065,60,False,0.0,1.0,3.1226570600383425,3.9594770879174273,0,False
