Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel
1,4.567904139396134,110,False,-101.0,-1.0,3.8770403013802848,4.8491779967063025
2,-30.152878454655454,106,False,-110.0,-1.0,3.695998809772588,4.318182492081761
3,-27.598801388415787,120,False,-97.0,-1.0,3.7343974963925004,4.287974911701167
4,-11.289181440646587,109,False,-101.0,-1.0,3.9645231366277573,4.660671055445088
5,-4.956146486956428,116,False,-102.0,-1.0,3.7998972576958794,4.672945538862882
6,-3.6876679057904695,154,False,-86.0,-1.0,3.8502341181989275,4.3887460059966354
7,2.6022477390092646,104,False,-96.0,-1.0,3.6503167791517845,4.870971086611882
8,-10.831927121344343,111,False,-94.0,-1.0,3.9904137671685107,4.710243122236854
9,2.932731049714164,136,False,-29.0,-1.0,3.8550107369055935,4.38273404439336
10,-1.2858470547224599,94,False,-24.0,-1.0,3.7784009510543286,4.637858805709835
11,-3.0856596471002646,91,False,-25.0,-1.0,3.95020130518583,4.666194617326095
12,-2.280567382982305,112,False,-24.0,-1.0,3.9140942204602096,4.235176303508134
13,0.420388344583408,96,False,-23.0,-1.0,3.8499807034883804,4.541986750547949
14,355.47976434524253,596,False,142.0,-1.0,10.306564821655472,5.144608120897694
15,-33.47710891191165,52,False,160.0,-1.0,9.295517572564435,1.2197899735206716
16,-33.40998571797212,57,False,165.0,-1.0,8.296274253648424,1.0054882146299413
17,-33.72223417657614,51,False,155.0,-1.0,9.493684680250205,1.2066008290748156
18,-32.09186677917652,71,False,161.0,-1.0,8.42049985250891,0.7938076202065226
19,-32.686864443043866,64,False,162.0,-1.0,8.658275618152224,0.8855647692054376
20,-32.14502064779773,71,False,161.0,-1.0,8.405979810789864,0.790775353312568
21,-32.21172866335387,70,False,162.0,-1.0,8.399726752801527,0.8082917851008339
22,-32.49594027978679,67,False,167.0,-1.0,8.221425271501252,0.8631685852089505
23,-30.88938713805034,67,False,149.0,-1.0,10.434267479666053,1.0484044999073832
24,-30.05437407164555,72,False,151.0,-1.0,9.523713145285479,0.9216970083476053
25,-31.11830092400203,66,False,149.0,-1.0,10.401990268399171,1.021700457435048
26,-30.45590585538619,60,False,152.0,-1.0,9.573487201438581,1.1342668573160608
27,-29.906171727819856,69,False,154.0,-1.0,9.533066779472627,0.9722199985247897
28,-30.356120054055495,68,False,154.0,-1.0,9.412795635302363,0.985532488066296
29,-30.528676953344906,61,False,153.0,-1.0,9.604875296658065,1.1035602563814657
30,-32.55851919183665,55,False,143.0,-1.0,11.709798734424245,1.2834206394648804
31,388.3714790692627,1029,False,-142.0,-1.0,17.629898085158963,1.2780808877577272
32,-35.14078891511758,40,False,-159.0,-1.0,12.962823038394742,1.4870807271923696
33,-36.91582000855605,29,False,-171.0,-1.0,18.45043136017457,2.027127603406151
34,-36.0704934819142,33,False,-165.0,-1.0,12.696104792099101,1.8836465334505632
35,-35.54218403840065,39,False,-175.0,-1.0,16.39258199817717,1.514741034927563
36,-35.45481232488155,40,False,-173.0,-1.0,12.397778633140266,1.5914211646537297
37,-35.46052469619115,40,False,-178.0,-1.0,15.508524784231561,1.4893957916414364
38,-35.95951406196753,34,False,-163.0,-1.0,12.777990334533676,1.8113680588122567
39,-35.36954075082143,41,False,-178.0,-1.0,15.264443481291552,1.4695126265060248
40,-35.98800481156508,35,False,-169.0,-1.0,12.534448534471816,1.7989382141469312
41,-35.95769406163693,34,False,-169.0,-1.0,12.535257400212625,1.8533841040711303
42,-55.0997678831021,41,False,-163.0,-1.0,3.954479761403797,1.3276013087498297
43,-36.015706437190374,34,False,-170.0,-1.0,12.468954931964328,1.8644499674590085
44,-36.064230522592865,34,False,-165.0,-1.0,nan,1.6630776881390963
45,-35.86512762591385,34,False,-165.0,-1.0,12.895614407572639,1.8569625678458526
46,-37.693393353201095,28,False,-173.0,-1.0,12.492313910545194,2.3915338251806264
47,-58.488,25,False,-178.0,-1.0,3.5698901140966735,2.457965364139527
48,-37.71129559329294,28,False,-174.0,-1.0,12.398391734773304,2.417419550491364
49,-38.547704520319186,24,False,-173.0,-1.0,12.492205347981207,2.925790361361578
