Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser
1,74.00534682314674,182,False,-103.0,-1.0,3.739310287594445,6.8831381240596095,56.043956043956044
2,-14.860953811904615,137,False,-107.0,-1.0,3.7148667765090773,5.119651086184869,100.0
3,116.37926790090478,229,False,-109.0,-1.0,3.7819420544802207,8.656060121534596,56.33187772925764
4,46.545178234567445,162,False,-106.0,-1.0,3.8629440277823477,6.185588286074315,78.39506172839506
5,29.391699497084232,184,False,-101.0,-1.0,3.74573944995904,6.715007041937813,98.36956521739131
6,-25.334927773563557,120,False,-90.0,-1.0,3.9273880662648915,5.008736459714904,100.0
7,55.488503171300295,200,False,-97.0,-1.0,3.657482344149479,7.732678495584987,98.0
8,46.201127889030246,165,False,-99.0,-1.0,3.4992173383104284,6.2528854181947695,68.48484848484848
9,51.123923828927985,162,False,-98.0,-1.0,3.827979227997437,6.930978080974949,69.1358024691358
10,-7.128016697200614,130,False,-110.0,-1.0,3.784431405463516,5.133454845689882,100.0
11,-11.521790829538027,112,False,-110.0,-1.0,3.7294616092853237,4.623194862622768,100.0
12,47.82660162380202,152,False,-118.0,-1.0,3.704611708745794,6.356289127175267,68.42105263157895
13,82.22962272659132,188,False,-107.0,-1.0,3.9655087393754216,7.667272736937639,51.06382978723404
14,-23.627882258368032,105,False,-106.0,-1.0,3.994175426860792,4.964500185215313,100.0
15,90.37058681838423,202,False,-105.0,-1.0,3.6482584808513843,8.052282102146684,46.03960396039604
16,-29.176493935532566,108,False,-95.0,-1.0,3.9661926072309464,4.917279149205165,100.0
17,26.044152356662664,154,False,-109.0,-1.0,3.6662605712128142,5.957513479408566,100.0
18,-3.8530060382987443,113,False,-112.0,-1.0,3.8186296525256926,5.333480599008715,100.0
19,79.43036423102137,212,False,-119.0,-1.0,3.601874994001061,8.379796765146136,49.056603773584904
20,-9.869629848146914,125,False,-96.0,-1.0,3.905614424256293,5.306227268565446,100.0
21,82.35906746026703,206,False,-110.0,-1.0,3.5674967622579494,7.61563227532852,59.70873786407766
22,72.1908022206616,179,False,-104.0,-1.0,3.618178190605287,7.110145131140354,53.63128491620112
23,72.14689665068218,179,False,-109.0,-1.0,3.5849517114785545,7.566561333552866,56.98324022346368
24,-2.276356637117196,127,False,-105.0,-1.0,3.670588043653963,4.648536807188295,100.0
25,-4.4870399921794615,120,False,-91.0,-1.0,3.6166954843544716,4.788946940769287,100.0
26,72.37329846911817,184,False,-109.0,-1.0,3.608204028732474,7.0295291938439375,63.04347826086957
27,41.49032498794891,166,False,-101.0,-1.0,3.670602941142633,7.368610331778841,77.10843373493977
28,76.68774614200646,189,False,-107.0,-1.0,3.943021600350509,6.70441495332246,48.148148148148145
29,55.7714516071852,183,False,-102.0,-1.0,3.570795239999279,6.790464002809543,65.02732240437157
30,-19.050952098592532,99,False,-90.0,-1.0,3.720410603240924,4.7770173155839055,100.0
31,-26.083376706836766,121,False,-85.0,-1.0,3.9263095946455535,4.969129496556129,100.0
32,103.45295951492307,216,False,-90.0,-1.0,3.750617524981514,7.832883119758831,55.55555555555556
