Episode,Reward,Num_steps,Index_loc
1,25.6796875,64,2
2,61.671875,109,0
3,43.83984375,86,1
4,15.37109375,50,1
5,50.26171875,93,0
6,33.95703125,67,0
7,21.5234375,62,0
8,23.8046875,62,2
9,46.33203125,83,2
10,31.078125,75,1
11,63.23828125,102,2
12,29.50390625,70,1
13,10.65625,43,1
14,55.72265625,111,0
15,22.03125,61,1
16,5.93359375,37,1
17,59.47265625,116,0
18,49.48828125,94,2
19,21.3203125,58,1
20,43.3671875,89,2
21,79.8125,117,2
22,45.1328125,93,2
23,28.359375,63,0
24,208.546875,275,0
25,51.53125,93,2
26,18.078125,53,2
27,40.828125,79,2
28,19.91796875,60,2
29,18.7265625,58,1
30,31.43359375,70,2
31,18.9296875,55,2
32,22.8828125,62,2
33,108.17578125,163,0
34,33.8984375,81,1
35,14.47265625,51,1
36,72.2734375,118,0
37,25.7734375,69,1
38,24.50390625,72,1
39,43.16796875,88,1
40,8.72265625,40,1
41,36.015625,74,2
42,62.1640625,118,0
43,51.8203125,99,0
44,76.4296875,122,2
45,49.79296875,95,2
46,11.88671875,42,1
47,35.4921875,75,0
48,57.19140625,107,0
49,43.3828125,93,2
50,66.20703125,112,0
51,25.6796875,71,2
52,9.03125,43,1
53,5.73828125,37,1
54,65.8828125,113,0
55,26.28515625,62,2
56,68.953125,106,2
57,35.3671875,75,2
58,69.8125,111,2
59,22.01171875,58,2
60,83.7890625,149,0
61,42.3984375,88,2
62,17.109375,51,1
63,28.1484375,64,0
64,78.09375,114,2
65,26.71875,72,1
66,8.953125,41,1
67,9.2421875,40,1
68,53.203125,88,2
69,43.6171875,74,0
70,69.015625,115,0
71,57.18359375,97,2
72,87.54296875,121,2
73,23.734375,61,2
74,19.49609375,54,0
75,16.91796875,50,0
76,35.08984375,80,2
77,28.5703125,68,2
78,37.93359375,81,1
79,21.03125,62,1
80,43.90625,85,2
81,116.88671875,182,0
82,14.6875,50,1
83,20.9609375,61,1
84,86.18359375,133,0
85,25.99609375,63,0
86,64.734375,133,2
87,78.94140625,121,0
88,25.40234375,62,2
89,45.34765625,81,2
90,73.7421875,108,0
91,28.078125,65,0
92,66.359375,121,0
93,44.40625,86,0
94,34.94921875,79,2
95,23.33203125,68,1
96,23.703125,61,2
97,33.92578125,74,2
98,14.3203125,48,2
99,45.33203125,91,2
100,25.640625,70,1
101,15.5,52,1
102,40.23828125,78,1
103,23.6484375,62,2
104,5.3125,37,1
105,25.58203125,68,1
106,88.09765625,166,0
107,26.953125,62,2
108,25.55859375,66,1
109,41.19140625,84,0
110,40.80859375,85,0
111,10.25390625,42,1
112,45.3046875,94,2
113,44.640625,88,2
114,31.77734375,79,1
115,45.0703125,90,0
116,25.80859375,68,1
117,27.8359375,65,0
118,64.9921875,114,0
119,41.8671875,98,2
120,60.2734375,110,2
121,1.23828125,29,1
122,65.2265625,106,1
123,20.8125,63,1
124,63.9453125,110,0
125,58.5390625,108,2
126,25.56640625,70,1
127,9.921875,45,1
128,23.46875,61,1
129,43.8984375,91,2
130,19.44921875,62,1
131,56.26171875,104,0
132,30.76953125,66,0
133,24.62109375,65,2
134,56.15234375,93,2
135,20.33984375,60,1
136,31.375,74,1
137,26.08984375,69,1
138,71.62890625,114,2
139,201.6875,295,0
140,24.65625,60,0
141,39.03125,91,0
142,57.421875,101,2
143,58.4140625,111,0
144,9.8359375,44,1
145,13.6015625,49,2
146,29.80078125,76,1
147,45.3359375,98,0
148,32.5,71,1
149,58.66796875,108,2
150,11.19921875,44,1
151,15.265625,58,1
152,60.45703125,99,2
153,22.796875,67,1
154,44.59375,83,1
155,40.3671875,80,1
156,45.70703125,92,2
157,27.66796875,71,1
158,13.44921875,46,1
159,62.5234375,107,2
160,31.77734375,76,1
161,33.2734375,74,2
162,17.05859375,50,1
163,18.80078125,58,1
164,75.73046875,120,0
165,43.265625,87,2
166,14.25390625,51,1
167,7.05859375,38,1
168,25.8359375,69,1
169,27.93359375,67,2
170,25.765625,67,1
171,17.84375,59,1
172,5.4453125,37,1
173,45.1875,92,2
174,66.71484375,117,0
175,71.32421875,109,2
176,5.734375,38,1
177,24.484375,61,2
178,26.42578125,67,2
179,20.0234375,59,1
180,36.0859375,76,1
181,25.44921875,63,2
182,24.40234375,69,1
183,17.2734375,55,1
184,19.07421875,55,2
185,95.921875,143,0
186,7.71875,43,1
187,11.20703125,44,2
188,26.8046875,61,0
189,21.73046875,62,2
190,16.984375,51,1
191,47.6171875,95,0
192,57.6875,97,0
193,197.40625,253,0
194,63.9296875,110,2
195,42.8125,91,2
196,15.15625,46,0
197,60.046875,101,2
198,11.58203125,44,2
199,23.6796875,67,1
200,21.08984375,67,1
201,23.015625,67,1
202,42.28515625,78,2
203,25.58203125,61,0
204,27.015625,62,0
205,21.87890625,56,0
206,29.546875,68,1
207,26.171875,69,2
208,44.55078125,93,0
209,22.4765625,63,1
210,64.36328125,99,2
211,20.734375,61,1
212,53.02734375,104,0
213,7.48828125,40,1
214,122.3828125,181,0
215,113.76171875,189,0
216,24.625,67,1
217,29.4375,77,1
218,27.26171875,62,0
219,61.73828125,113,2
220,22.74609375,60,2
221,91.859375,140,0
222,51.296875,97,2
223,24.14453125,71,1
224,37.1796875,77,0
225,65.0390625,119,0
226,67.4609375,108,2
227,56.109375,111,2
228,82.51171875,132,0
229,55.84375,98,2
230,60.49609375,93,0
231,27.671875,65,0
232,17.703125,57,2
233,8.1171875,40,1
234,37.84765625,79,1
235,67.46875,106,2
236,158.859375,220,0
237,53.5859375,91,2
238,123.40234375,181,0
239,41.0234375,79,2
240,85.3984375,126,2
241,228.9453125,305,0
242,46.5078125,89,2
243,110.81640625,182,0
244,69.1015625,109,0
245,39.390625,93,2
246,45.48046875,95,2
247,34.2734375,82,1
248,45.828125,97,2
249,13.01171875,43,1
250,6.4296875,39,1
251,67.015625,110,2
252,24.859375,61,0
253,28.5703125,69,2
254,209.79296875,292,0
255,14.23046875,45,0
256,5.3984375,37,1
257,22.921875,68,1
258,16.00390625,50,1
259,48.9765625,92,1
260,74.53125,118,2
261,22.19921875,65,1
262,7.39453125,39,1
263,20.5234375,59,2
264,46.1796875,96,2
265,39.03125,85,0
266,26.2265625,69,1
267,9.2734375,40,1
268,27.97265625,71,1
269,18.5703125,61,1
270,60.84765625,110,0
271,54.16015625,105,0
272,23.8828125,64,2
273,40.578125,80,1
274,8.9765625,44,1
275,42.2265625,79,1
276,19.8359375,59,1
277,21.61328125,64,1
278,8.5078125,40,1
279,3.078125,32,1
280,60.89453125,118,0
281,48.89453125,90,2
282,43.671875,89,0
283,26.4765625,67,0
284,28.8203125,62,2
285,64.66796875,112,2
286,26.75390625,63,0
287,97.12109375,132,2
288,38.73828125,81,2
289,53.59765625,95,0
290,51.12109375,110,2
291,31.81640625,62,0
292,16.7578125,51,1
293,39.29296875,95,1
294,94.69140625,154,0
295,56.9453125,104,0
296,48.1875,98,2
297,47.1953125,89,0
298,47.953125,105,2
299,7.2734375,39,1
300,9.0234375,41,1
301,45.359375,95,0
302,40.6171875,78,0
303,44.640625,91,2
304,22.94921875,59,2
305,66.62890625,108,0
306,60.0,99,1
307,46.296875,89,2
308,147.7109375,201,0
309,32.6484375,75,1
310,42.70703125,88,2
311,23.890625,67,1
312,40.3515625,81,2
313,16.1875,51,0
314,24.98046875,62,0
315,175.1875,250,0
316,19.33203125,58,1
317,71.46875,108,2
318,20.36328125,56,0
319,58.51171875,91,0
320,18.3203125,55,2
321,94.58203125,129,2
322,140.84375,186,0
323,28.48828125,62,0
324,26.23046875,66,1
325,41.43359375,93,2
326,27.70703125,65,0
327,24.69921875,61,2
328,51.4453125,103,2
329,43.5234375,100,1
330,24.62890625,62,0
331,65.9375,117,0
332,42.66796875,90,2
333,11.921875,46,2
334,26.4140625,68,2
335,84.38671875,133,0
336,38.4140625,80,1
337,42.33984375,79,2
338,41.5390625,82,0
339,45.23828125,87,1
340,18.78125,52,0
341,47.6875,94,2
342,21.625,60,2
343,103.13671875,159,0
344,37.6328125,91,2
345,6.74609375,39,1
346,93.4921875,146,0
347,18.328125,63,1
348,9.04296875,41,1
349,52.375,98,2
